適用規格,調査名,調査目的,調査対象,ボーリング名,ボーリング総数,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,取得方法コード,読取精度コード,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,孔口標高,総掘進長,柱状図様式,掘進角度,試錐機_名称,試錐機_方法,エンジン_名称,ハンマー落下用具_コード,N値記録用具_コード,ポンプ_名称,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,岩石土区分_岩石土記号,岩石土区分_岩石,色調_下端深度,色調_色調名,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,バージョン変換情報,ボーリング連番,調査期間_開始年月日,掘進方向,地盤勾配,ハンマー落下用具_名称,N値記録用具_名称,櫓種類コード,岩石土区分_岩相,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,相対密度稠度_下端深度,相対密度_コード,相対稠度_コード,試料採取_上端深度,試料採取_下端深度,試料採取_採取方法コード,試料採取_試料番号,試料採取_採取方法
JIS A 0206-2008,梯川土質調査作業,18,21,29-F-5,1177,136,26,55.863,36,24,57.085,02,1,1,5436,43,95,建設省金沢工事事務所調査一課,1979-09-07,不明,不明,不明,不明,不明,2,15.38,1,0,不明,9,不明,9,9,不明,015.38,シルト質粘土,1,CHM,532120030,015.38,暗灰色,015.15,03,38,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1098,1979-09-05,0,0,不明,その他,9,599200003,013.10,015.38,粘着性激しく所々に若干の腐植物を含み微細砂も帯状にて挟む\n13.00m付近木片等の腐植物を挟在する\n,015.38,03,38,015.38,0,0,14.00,14.30,100,5,P
JIS A 0206-2008,寺井署職員宿舎新築工事に伴う地質調査,18,21,28-G-6,1177,136,29,54.774,36,26,19.03,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1974-08-10,不明,不明,不明,不明,不明,8,30.2,1,0,不明,9,不明,9,9,不明,030.20,シルト,1,M,532110000,030.20,暗灰色,029.15,30,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1073,1974-08-07,0,0,不明,その他,9,599200003,,,,030.20,30,30,030.20,0,0,,,,,
JIS A 0206-2008,寺井町武道館建設事業地質調査工事,18,21,28-F-62,1177,136,29,26.286,36,26,17.739,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1975-06-11,不明,不明,不明,不明,不明,6,15.5,1,0,不明,9,不明,9,9,不明,015.50,砂質シルト,1,MS,532110020,015.50,暗灰色,015.15,09,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1067,1975-06-10,0,0,不明,その他,9,599200003,,,,015.50,09,30,015.50,0,0,,,,,
JIS A 0206-2008,単価契約地質調査作業(南郷地区),01,05,54363256026,2,136,19,49.98225,36,18,2.88861,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1993-01-01,(株)ホクコク地水,不明,不明,不明,不明,9.11,4,1,0,不明,9,不明,4,9,不明,4.00,軟岩､風化岩,1,,,4.00,黒灰,4.00,50,5,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス(大長野他)地質調査作業,01,01,54365318004,5,136,29,1.21389,36,25,46.64147,09,1,1,5436,53,18,建設省北陸地方建設局金沢工事事務所,1992-01-01,吉田鑿泉株式会社,不明,不明,不明,不明,5.55,33.45,1,0,不明,9,不明,4,9,不明,33.45,砂,1,S,531211000,33.45,暗灰,33.15,49,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,12.15,12.45,100,,
JIS A 0206-2008,小松バイパス(大長野～千代)地質調査作業,01,01,54365308001,7,136,28,59.81441,36,25,26.04456,09,1,1,5436,53,08,建設省北陸地方建設局金沢工事事務所,1990-12-01,株式会社ホクコク地水,不明,不明,不明,不明,3.33,25,1,0,不明,9,不明,4,9,不明,25.00,砂,1,S,531211000,25.00,灰,25.15,50,38,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,1.50,2.50,250,,
JIS A 0206-2008,社団法人小松医師会附属準備看護学院防音改築工事,18,21,29-F-20,1177,136,26,42.565,36,24,14.24,02,1,1,5436,43,85,建設省金沢工事事務所調査二課,1973-01-30,不明,不明,不明,不明,不明,1,22.3,1,0,不明,9,不明,9,9,不明,022.30,シルト,1,M,532110000,022.30,暗灰色,022.15,04,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1106,1973-01-26,0,0,不明,その他,9,599200002,,,,022.30,04,30,022.30,0,0,,,,,
JIS A 0206-2008,小松バイパス(大長野他)地質調査作業,01,01,54365318005,5,136,29,2.31395,36,25,42.94221,09,1,1,5436,53,18,建設省北陸地方建設局金沢工事事務所,1992-01-01,吉田鑿泉株式会社,不明,不明,不明,不明,4.33,31.35,1,0,不明,9,不明,4,9,不明,31.35,砂,1,S,531211000,31.35,暗灰,31.15,50,20,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,12.15,12.45,100,,
JIS A 0206-2008,単価契約地質調査作業(南郷地区),01,05,54363256027,2,136,19,56.48151,36,18,5.08851,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1993-01-01,(株)ホクコク地水,不明,不明,不明,不明,9.87,8,1,0,不明,9,不明,4,9,不明,8.00,高有機質土(腐植土),1,MS,532110020,8.00,暗緑灰,8.00,50,4,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,寺井小学校防音校舎新築工事地質調査,18,21,28-G-10,1177,136,29,52.574,36,26,11.011,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1967-06-01,不明,不明,不明,不明,不明,6,20,1,0,不明,9,不明,9,9,不明,020.00,砂礫,1,GS,531120000,020.00,暗緑青色,019.50,50,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1066,1967-06-01,0,0,不明,その他,9,599200003,,,,020.00,50,30,020.00,0,0,,,,,
JIS A 0206-2008,寺井署職員宿舎新築工事に伴う地質調査,18,21,28-G-5,1177,136,29,54.114,36,26,19.22,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1974-08-06,不明,不明,不明,不明,不明,8,30.9,1,0,不明,9,不明,9,9,不明,030.90,シルト,1,M,532110000,030.90,暗灰色,030.15,25,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1072,1974-08-03,0,0,不明,その他,9,599200003,,,,030.90,25,30,030.90,0,0,,,,,
JIS A 0206-2008,梯川築堤調査作業,18,21,29-F-6,1177,136,27,19.221,36,24,56.286,02,1,1,5436,43,96,建設省金沢工事事務所調査一課,1977-09-10,不明,不明,不明,不明,不明,2,30.2,1,0,不明,9,不明,9,9,不明,030.20,粗砂,1,CS,531211100,030.20,黄緑灰色,030.15,56,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1099,1977-09-02,0,0,不明,その他,9,,028.00,030.20,中～粗粒砂より構成され粘土・シルト分を殆ど含まず全体に良く締っている\n,030.20,56,30,030.20,0,0,23.00,23.40,250,8,T
JIS A 0206-2008,小松バイパス東山地区土質調査作業,01,05,54364359012,5,136,29,17.9172,36,23,0.5686,09,1,1,5436,43,69,建設省北陸地方建設局金沢工事事務所,1982-09-01,(株)日本パブリックエンジニアリング,不明,不明,不明,不明,24.72,15,1,0,不明,9,不明,9,9,不明,15.00,不明,1,SM,531231030,15.00,不明,15.15,50,15,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200003,,,,,,,,,,,,,,
JIS A 0206-2008,千代地質調査作業,01,01,54364389031,6,136,29,17.41417,36,24,35.95382,09,1,1,5436,43,99,建設省北陸地方建設局金沢工事事務所,2001-03-01,株式会社　日さく,不明,不明,不明,不明,3.28,34,1,0,不明,9,不明,2,9,不明,34.00,火山灰,1,VA,540120000,34.00,黄灰,34.00,50,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,23.70,24.20,300,,
JIS A 0206-2008,小松バイパス花坂地質調査作業,01,05,54364359006,11,136,29,13.41749,36,23,4.06785,09,1,1,5436,43,68,建設省北陸地方建設局金沢工事事務所,1983-08-01,金沢鑿泉株式会社,不明,不明,不明,不明,21.94,4,1,0,不明,9,不明,9,9,不明,4.00,不明,1,MV,532110060,4.00,不明,4.15,50,8,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス(二ッ梨地区)地質調査作業,01,01,54363394010,12,136,25,43.73883,36,20,6.58241,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1989-07-01,株式会社興和,不明,不明,不明,不明,8.36,8,1,0,不明,9,不明,2,9,不明,8.00,軟岩､風化岩,1,S,531211000,8.00,白灰,6.15,50,26,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松B.P(林町～二ッ梨町)地質調査作業,01,01,54363394004,8,136,25,38.43946,36,20,6.98184,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1987-09-01,基礎地盤コンサルタンツ株式会社,不明,不明,不明,不明,10,15.21,1,0,不明,9,不明,4,9,不明,15.21,軟岩､風化岩,1,GF,531100000,15.21,青灰,15.05,50,16,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200003,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス(二ッ梨地区)地質調査作業,01,01,54363394012,12,136,25,42.03904,36,20,6.38228,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1989-07-01,株式会社興和,不明,不明,不明,不明,7.6,8.3,1,0,不明,9,不明,2,9,不明,8.30,軟岩､風化岩,1,GF,531100000,8.30,白灰,6.55,55,15,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松B.P(林町～二ッ梨町)地質調査作業,01,01,54363394006,8,136,25,22.44143,36,20,1.58125,09,1,1,5436,43,03,建設省北陸地方建設局金沢工事事務所,1987-06-01,基礎地盤コンサルタンツ株式会社,不明,不明,不明,不明,10.25,17,1,0,不明,9,不明,4,9,不明,17.22,軟岩､風化岩,1,GF,531100000,17.22,青灰,17.05,50,17,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200003,,,,,,,,,,,,,,
JIS A 0206-2008,千代地質調査作業,01,01,54364389027,6,136,29,18.11423,36,24,32.05448,09,1,1,5436,43,99,建設省北陸地方建設局金沢工事事務所,2001-03-01,株式会社　日さく,不明,不明,不明,不明,3.13,42.27,1,0,不明,9,不明,2,9,不明,42.27,シルト混り礫質土,1,S,531211000,42.27,暗青灰,42.15,50,12,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,2.00,2.73,250,,
JIS A 0206-2008,小松バイパス(八幡～花坂)地質調査作業,01,05,54364359010,8,136,29,16.21731,36,23,1.86832,09,1,1,5436,43,69,建設省北陸地方建設局金沢工事事務所,1982-12-01,北国鑿泉株式会社,不明,不明,不明,不明,19.36,9,1,0,不明,9,不明,9,9,不明,9.00,不明,1,M,532110000,9.00,不明,9.05,50,9,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス花坂地質調査作業,01,05,54364359004,11,136,29,15.41733,36,23,5.06782,09,1,1,5436,43,69,建設省北陸地方建設局金沢工事事務所,1983-08-01,金沢鑿泉株式会社,不明,不明,不明,不明,16.78,3,1,0,不明,9,不明,9,9,不明,3.00,不明,1,,,3.00,不明,3.00,99,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,手取川ダム貯水池堆積土砂調査作業,18,06,54363502001,4,136,38,49.37561,36,15,26.13915,09,1,1,5436,35,01,建設省北陸地方建設局金沢工事事務所,1999-03-01,(株)日本パブリック北陸支社,不明,不明,不明,不明,352.35,6.78,1,0,不明,9,不明,9,9,不明,6.78,シルト,1,M,532110000,6.78,灰,6.15,0,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,6.00,6.50,250,,
JIS A 0206-2008,金沢西バイパス(五間堂～高堂)土質調査作業,18,21,28-F-49,1177,136,29,7.468,36,26,18.269,02,1,1,5436,53,28,建設省金沢工事事務所調査二課,1978-06-30,不明,不明,不明,不明,不明,5,14.45,1,0,不明,9,不明,9,9,不明,014.45,砂,1,S,531211000,014.45,茶褐色,014.15,25,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1058,1978-06-29,0,0,不明,その他,9,,013.90,014.45,砂は細砂\n,014.45,25,30,014.45,0,0,5.00,5.70,250,4,T
JIS A 0206-2008,寺井中学校防音校舎地質調査,18,21,28-F-58,1177,136,29,27.126,36,26,25.349,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1968-07-10,不明,不明,不明,不明,不明,7,25,1,0,不明,9,不明,9,9,不明,025.00,シルト混り粗砂,1,CS-M,531213103,025.00,淡茶色,024.50,25,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1064,1968-07-04,0,0,不明,その他,9,599200003,,,,025.00,25,30,025.00,0,0,,,,,
JIS A 0206-2008,粟生小学校防音校舎地質調査,18,21,28-G-2,1177,136,30,24.599,36,27,6.525,02,1,1,5436,54,40,建設省金沢工事事務所調査二課,1969-10-13,不明,不明,不明,不明,不明,13,10,1,0,不明,9,不明,9,9,不明,010.00,シルト混じり砂礫,1,GS-M,531120003,010.00,暗茶灰色,001.15,50,20,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1070,1969-10-09,0,0,不明,その他,9,599200003,,,,010.00,50,20,010.00,0,0,,,,,
JIS A 0206-2008,南郷拡幅(黒瀬～南郷)地質調査業務委託,01,01,54363256025,11,136,19,50.8823,36,18,0.48891,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1988-08-01,木村建設(株),不明,不明,不明,不明,10.39,10,1,0,不明,9,不明,9,9,不明,10.00,砂利・礫混り粘性土,1,MS,532110020,10.00,暗青灰,,,,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,9.70,10.00,250,,
JIS A 0206-2008,南郷拡幅(黒瀬～南郷)地質調査業務委託,01,01,54363256019,11,136,19,57.98145,36,18,3.7887,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1988-08-01,木村建設(株),不明,不明,不明,不明,8.73,7.5,1,0,不明,9,不明,2,9,不明,7.50,軟岩､風化岩,1,C,532100000,7.50,灰,2.15,53,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松市向折野公民館新築に伴う地質調査,18,21,29-F-50,1177,136,26,20.219,36,23,42.793,02,1,1,5436,43,75,建設省金沢工事事務所調査二課,1973-07-31,不明,不明,不明,不明,不明,1,25.5,1,0,不明,9,不明,9,9,不明,025.50,砂礫,1,GS,531120000,025.50,淡青灰色,025.15,50,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1110,1973-06-27,0,0,不明,その他,9,599200003,,,,025.50,50,30,025.50,0,0,,,,,
JIS A 0206-2008,小松市庁舎別館建設用地地質調査,18,21,29-F-17,1177,136,26,42.395,36,24,29.748,02,1,1,5436,43,85,建設省金沢工事事務所調査二課,1973-02-18,不明,不明,不明,不明,不明,1,30.45,1,0,不明,9,不明,9,9,不明,030.45,砂礫,1,GS,531120000,030.45,褐青灰色,030.15,27,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1104,1973-02-16,0,0,不明,その他,9,599200003,021.50,030.45,礫はφ10～30m/m\n内外の円～亜角礫である\n砂は中～粗砂でシルト及び粘土を若干混入\n全体に若干の透水あり\n25m附近より礫分多くなり最大径φ50m/m\n,030.45,27,30,030.45,0,0,,,,,
JIS A 0206-2008,小松バイパス(大長野～千代)地質調査作業,01,01,54365308002,7,136,29,1.31457,36,25,12.14686,09,1,1,5436,53,08,建設省北陸地方建設局金沢工事事務所,1990-12-01,株式会社ホクコク地水,不明,不明,不明,不明,3.17,29,1,0,不明,9,不明,4,9,不明,29.00,砂,1,S,531211000,29.00,青灰,29.15,40,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,1.50,2.50,250,,
JIS A 0206-2008,聖テレジア幼稚園防音改築に伴う地盤調査,18,21,29-F-18,1177,136,26,49.584,36,24,23.909,02,1,1,5436,43,85,建設省金沢工事事務所調査二課,1971-04-01,不明,不明,不明,不明,不明,2,25.3,1,0,不明,9,不明,9,9,不明,025.30,砂礫,1,GS,531120000,025.30,黄褐色,025.15,37,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1105,1971-04-01,0,0,不明,その他,9,599200002,021.60,025.30,礫径は10～20m/mのもの多し\n最大径は50m/m程度\n礫は風化礫が多い\n23.8～24.0m砂を挟む\n,025.30,37,30,025.30,0,0,,,,,
JIS A 0206-2008,梯川築堤調査作業,18,21,29-F-51,1177,136,28,11.026,36,24,47.748,02,1,1,5436,43,97,建設省金沢工事事務所調査一課,1977-09-19,不明,不明,不明,不明,不明,3,26.4,1,0,不明,9,不明,9,9,不明,026.40,砂礫,1,GS,531120000,026.40,淡青灰色,026.15,51,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1111,1977-09-11,0,0,不明,その他,9,,021.65,026.40,上部は礫の混入も少ないが22.5m附近よりφ5cm以下の礫を多く混える様になる\n礫は殆ど安山岩及び同質の火石岩類より構成される\n全体に粘土分を混え、又砂分が多い事より比較的ゆる様相を呈する\n,026.40,51,30,026.40,0,0,20.00,20.80,250,8,T
JIS A 0206-2008,南郷拡幅南郷地内地質解析業務,01,01,54363256018,2,136,19,48.48245,36,18,1.88869,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1988-02-01,梶谷エンジニア株式会社,不明,不明,不明,不明,15.48,20.09,1,0,不明,9,不明,9,9,不明,20.09,軟岩､風化岩,1,M-S,532110002,20.09,暗灰,20.00,60,9,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,16.20,17.05,250,,
JIS A 0206-2008,南郷拡幅(黒瀬～南郷)地質調査業務委託,01,01,54363256024,11,136,19,48.68235,36,18,3.18855,09,1,1,5436,32,66,建設省北陸地方建設局金沢工事事務所,1988-08-01,木村建設(株),不明,不明,不明,不明,10.6,11.73,1,0,不明,9,不明,9,9,不明,11.73,砂利・礫混り粘性土,1,C,532100000,11.73,暗灰,,,,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,11.53,11.73,250,,
JIS A 0206-2008,粟生小学校防音校舎地質調査,18,21,28-G-3,1177,136,30,25.049,36,27,6.795,03,1,1,5436,54,40,建設省金沢工事事務所調査二課,1969-10-08,不明,不明,不明,不明,不明,13,10,1,0,不明,9,不明,9,9,不明,010.00,砂礫,1,GS,531120000,010.00,暗青灰色～暗灰色～茶褐色～暗茶灰色,003.15,50,25,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1071,1969-09-28,0,0,不明,その他,9,599200003,,,,010.00,50,25,010.00,0,0,,,,,
JIS A 0206-2008,寺井中学校防音校舎地質調査,18,21,28-F-59,1177,136,29,27.146,36,26,24.619,02,1,1,5436,53,29,建設省金沢工事事務所調査二課,1968-07-14,不明,不明,不明,不明,不明,7,25.2,1,0,不明,9,不明,9,9,不明,025.20,シルト混じり砂礫,1,GS-M,531120003,025.20,茶褐色,024.15,34,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1065,1968-07-11,0,0,不明,その他,9,599200003,,,,025.20,34,30,025.20,0,0,,,,,
JIS A 0206-2008,金沢西バイパス(五間堂～高堂)土質調査作業,18,21,28-F-50,1177,136,29,6.978,36,26,15.749,02,1,1,5436,53,28,建設省金沢工事事務所調査二課,1978-06-24,不明,不明,不明,不明,不明,5,30.45,1,0,不明,9,不明,9,9,不明,030.45,砂質シルト,1,MS,532110020,030.45,黄褐灰色,030.15,26,30,2018/04/16 14:17 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1059,1978-06-20,0,0,不明,その他,9,,029.95,030.45,細砂混入\n含水小\n,030.45,26,30,030.45,0,0,,,,,
JIS A 0206-2008,南郷拡幅(南郷～花房)地質調査,01,12,54363254009,10,136,18,27.69066,36,17,45.68862,09,1,1,5436,32,54,建設省北陸地方建設局金沢工事事務所,1989-12-01,日本工営株式会社,不明,不明,不明,不明,5.13,35,1,0,不明,9,不明,3,9,不明,35.00,軟岩､風化岩,1,S-C,531213004,35.00,暗灰,35.15,50,12,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200002,,,,,,,,,,5.00,5.80,250,,
JIS A 0206-2008,小松バイパス花坂地質調査作業,01,05,54364359005,11,136,29,13.41748,36,23,5.06771,09,1,1,5436,43,68,建設省北陸地方建設局金沢工事事務所,1983-08-01,金沢鑿泉株式会社,不明,不明,不明,不明,18.37,4,1,0,不明,9,不明,9,9,不明,4.00,不明,1,M-O,532110005,4.00,不明,4.15,50,8,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,千代地質調査作業,01,01,54364389026,6,136,29,18.4142,36,24,32.15449,09,1,1,5436,43,99,建設省北陸地方建設局金沢工事事務所,2001-03-01,株式会社　日さく,不明,不明,不明,不明,3.15,42.25,1,0,不明,9,不明,2,9,不明,42.25,シルト混り礫質土,1,S,531211000,42.25,暗灰,42.15,50,10,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,2.50,3.33,250,,
JIS A 0206-2008,小松バイパス東山地区土質調査作業,01,05,54364359011,5,136,29,10.41788,36,22,54.86902,09,1,1,5436,43,58,建設省北陸地方建設局金沢工事事務所,1982-09-01,(株)日本パブリックエンジニアリング,不明,不明,不明,不明,7.63,14.5,1,0,不明,9,不明,9,9,不明,14.50,不明,1,MS,532110020,14.50,不明,12.15,43,30,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,加賀トラックスケール地質調査作業,01,01,54363394007,5,136,25,26.24096,36,20,3.48127,09,1,1,5436,43,03,建設省北陸地方建設局金沢工事事務所,1989-02-01,吉田鑿泉株式会社,不明,不明,不明,不明,9.74,15,1,0,不明,9,不明,4,9,不明,15.00,軟岩､風化岩,1,GF,531100000,15.00,淡緑,15.00,50,5,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,小松バイパス(二ッ梨地区)地質調査作業,01,01,54363394013,12,136,25,39.43934,36,20,7.48186,09,1,1,5436,43,04,建設省北陸地方建設局金沢工事事務所,1989-07-01,株式会社興和,不明,不明,不明,不明,9.31,10,1,0,不明,9,不明,2,9,不明,10.00,軟岩､風化岩,1,GF,531100000,10.00,白灰,8.50,62,25,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平地区地質調査・解析業務委託,01,01,54364772004,14,136,54,25.56562,36,23,56.19376,09,1,1,5436,47,72,建設省北陸地方建設局富山工事事務所,1978-06-01,日本工営株式会社,不明,不明,不明,不明,310,15,1,0,不明,9,不明,4,9,不明,15.00,軟岩､風化岩,1,,,15.00,灰,8.15,37,25,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,南郷道路土質調査作業,18,21,31-D-52,1177,136,19,17.819,36,17,55.012,02,1,1,5436,32,55,建設省金沢工事事務所調査二課,1973-08-23,不明,不明,不明,不明,不明,8,25.1,1,0,不明,9,不明,9,9,不明,025.10,泥岩,1,Ms,111300002,025.10,暗青灰色,025.10,50,10,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1176,1973-08-21,0,0,不明,その他,9,599200001,008.50,022.95,腐植物混入\n,025.10,50,10,025.10,0,0,20.00,20.75,250,7,T
JIS A 0206-2008,小松バイパス地質調査作業,18,21,30-F-33,1177,136,26,29.645,36,20,23.596,02,1,1,5436,43,05,建設省金沢工事々務所調査二課,1973-03-13,不明,不明,不明,不明,不明,4,23.18,1,0,不明,9,不明,9,9,不明,023.18,流紋岩,1,Ry,221112000,023.18,灰色,023.15,50,03,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),1162,1973-03-10,0,0,不明,その他,9,,019.50,023.18,所々粘土化\nやや風化\n細片状コアーとなる\n,023.18,50,03,023.18,0,0,,,,,
JIS A 0206-2008,南郷拡幅(南郷～花房)地質調査,01,12,54363255006,10,136,18,52.48846,36,17,45.68923,09,1,1,5436,32,55,建設省北陸地方建設局金沢工事事務所,1989-12-01,日本工営株式会社,不明,不明,不明,不明,8.32,19,1,0,不明,9,不明,3,9,不明,19.00,軟岩､風化岩,1,GC,531131040,19.00,淡灰,19.00,50,7,2018/04/16 14:16 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,599200002,,,,,,,,,,,,,,
