適用規格,事業工事名,調査名,調査目的,調査対象,ボーリング名,ボーリング総数,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,取得方法コード,読取精度コード,測地系,調査位置住所,コード1次,コード2次,コード3次,発注機関名称,テクリスコード,調査期間_開始年月日,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進角度,地盤勾配,試錐機_名称,試錐機_能力,試錐機_方法,エンジン_名称,エンジン_能力,エンジン_単位,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,ポンプ_名称,ポンプ_能力,ポンプ_単位,櫓種類コード,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石土記号,岩石土区分_岩石群コード,岩石土区分_岩石,色調_下端深度,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,標準貫入試験_開始深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,相対密度稠度_下端深度,相対密度_コード,相対稠度_コード,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_試験方法,透水試験_透水係数,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_孔内水位,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_説明,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_説明,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_水位種別備考,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,孔径孔壁保護_孔壁保護方法,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,フリー情報,岩石土区分_岩相,標準貫入試験_備考,掘進方向,相対密度_状態,試料採取_採取方法,取得方法説明,コア形状区分判定表_区分,割れ目区分判定表_区分,風化区分判定表_区分,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,孔径孔壁保護_孔壁保護実施理由,送水条件_送水種類,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_降伏圧,孔内水平載荷試験_変形係数,孔内水位_掘削状況,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,試料採取_試験名,相対稠度_状態,N値記録用具_名称,調査会社_TEL,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,櫓種類名称,岩石土区分_変成岩岩相,岩石土区分_変成岩岩石,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,孔内水平載荷試験_載荷パターン,座標定義,座標,地盤分類_下端深度,地盤分類_工学的分類記号,標準貫入試験詳細データ_開始深度,標準貫入試験詳細データ_打撃回数,標準貫入試験詳細データ_貫入量,標準貫入試験詳細データ_累積貫入量
JIS A 0206-2008,,平成19年度 第617J-3号 間田長浜線単独道路改築土質調査業務委託,01,04,B-4(No6+85CL),11,4,136,20,03.8900,35,23,01.2600,01,2,1,滋賀県長浜市石田町～米原市朝日町,5336,02,66,滋賀県湖北地域振興局長浜建設管理部,22501106,2008-07-04,2008-07-19,八千代エンジニヤリング株式会社,173.15,40.00,2,0.00,30.00,YBM-05,50,3,ヤンマーNFAD8,8,PS,2,,2,ヤンマーCP-40,40,l/min,,40.00,緑色岩,Cht,1,131000002,40.00,緑灰,36.25,38.95,[36.40]36.4-36.5m 石英脈。傾斜不規則。幅1cm。\n[36.60]36.6m チャートと石英脈60°\n[36.80]36.8m，36.9m チャート径3-4cm。\n[37.00]37.0m 石英脈60°細片状。\n[38.65]38.65m チャート径5cm。,38.95,12.00,50,0,20,10,12,1,50,0,,,,,,,,,,,,,2008-07-18,1,6.42,19,2008-07-18,40.00,14.50,015,E,極軟,マサ状、粘土状。a,40.00,013,018,VIII,コアの採取ができないもの。スライムも含む。,40.00,014,014,d,割れ目として認識できない角礫状、砂状、粘土状コア。,40.00,011,015,ε,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,40.00,011,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,40.00,011,,14.50,86,2,,40.00,90,40.00,D,DB,40.00,25.0,40.00,100,40.00,0.1,8,8,2,,,,40.00,100,40.00,20,40.00,40,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,40.00,940,,111000000,貫入不能,,,,,採取不可,d,ε,,,,,,崩壊,,35.60,01,2000.0,4500.0,1.14E+06,,,,,,,,,,,,,,,,,,,,単調載荷,,,,,,,,
JIS A 0206-2008,,平成25年度　第B121-7号　葛籠尾崎塩津線　補助道路修繕調査業務委託,01,01,No.2-2,6,0004,136,08,35.2300,35,28,09.7600,02,0,1,滋賀県長浜市高月町片山　地内,5336,11,61,滋賀県長浜土木事務所　木ノ本支所,22501106,2014-06-30,2014-07-02,株式会社キンキ地質センター滋賀事務所,309.81,9.00,2,,37.00,吉田鉄工所製　YBM-05,,,ヤンマー農機製　NS75,,,2,,2,高圧プランジャポンプ　丸山410,,,,9.00,緑色岩,S-G,1,219125503,9.00,緑青灰,6.60,9.00,5～10cmの短柱～片状コア主体。割れ目沿いに褐色の粘土を1～3cm程度所々挟む。\n8.8m以深粘土化進行する。,9.00,8.00,50,0,9,1,30,10,50,0,,,,,,,,,,,,,2014-07-02,1,9999.00,,2014-07-02,9.00,,,,,,9.00,013,,,,9.00,014,,,,9.00,013,,,,9.00,013,,,,,9.00,012,,0.50,86,9,CP,9.00,75,9.00,D,D,9.00,20.0,9.00,150,9.00,0.0,7,0,9,,,,9.00,100,9.00,8,9.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,9.00,950,,,貫入不能,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成20年度 第1640-3号 十郎谷川通常砂防土質調査業務委託,09,10,NO.3,3,3,136,22,36.2000,35,25,32.4000,09,0,1,滋賀県米原市大久保,5336,13,10,滋賀県湖北地域振興局長浜建設管理部,22501106,2008-10-21,2008-12-25,株式会社鈴鹿設計事務所,353.77,13.08,2,0.00,41.00,カノー製　KR-100,50,3,ヤンマー製　NFAD-8,10,kw,2,,2,ヤンマー製　CP-60,65,l/min,,13.08,風化頁岩,GS-M,1,531120003,13.08,暗緑灰～黒灰,1.90,13.08,石英脈を伴う頁岩。\n全体に破砕及び変質が著しく、コアはφ2～10mm以下の礫を主体としたシルト質砂礫状を呈し、所々φ30～50mm内外の風化残留礫を含む。\n一部砂状(細～中砂程度)コアを含む。\n風化残留礫は全体に丸みを帯びたものが多く(亜角～亜円礫状)、表面に鈍い光沢を持つ。\n全体に土砂化しているため、岩構造はやや不明瞭である。\nコアは比較的締まった状態であるが、ハンマーの軽打で容易に粉々となる。\n8.75～9.00m、φ2～40mm以下の角～亜角礫状コア主体。\n9.45～9.70m、φ2～20mm以下の角～亜角礫状コア主体。,13.08,13.00,50,8,20,10,9,4,50,8,,,,,,,,,,,,,,,,,2008-11-10,13.08,11.00,015,E,極軟,マサ状、粘土状。a,13.08,015,018,VIII,コアの採取ができないもの。スライムも含む。,13.08,017,014,d,割れ目として認識できない角礫状、砂状、粘土状コア。,13.08,014,015,ε,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,13.08,015,014,4,強変質,構成鉱物、岩片等が変質鉱物で完全置換され、原岩組織を全く～殆ど残さないもの。,13.08,014,,11.00,86,2,,13.00,100,13.00,S,MC,13.00,3.0,13.00,60,13.00,0.0,0,0,1,,,,13.00,100,13.08,5,13.08,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,13.08,960,,,,,,,GIS,,,,1.90,13.08,二畳紀,000000000,000000000,崩壊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-10号 高時川補助河川総合流域防災事業土質調査業務委託(その3),08,21,L-4.6KP-1,21,13,136,14,46.6000,35,26,54.4000,02,1,1,滋賀県長浜市錦織町 他,5336,11,39,滋賀県長浜土木事務所,22501106,2010-03-23,2010-03-29,株式会社石居設計,103.67,24.31,1,0.00,0.00,カノーKR-50HC,,,ヤンマーNFAD-9,,,9,半自動落下装置,2,カノーV-5,,l/min,,24.31,シルト混り砂礫,GS,1,531120000,24.31,暗青灰,22.70,24.31,含水量中位\n礫はφ5～15mm(max=30mm)の亜角円礫主体\nマトリックスは粒径不均一な砂主体\n所々、砂を挟む\nGL-24m付近、シルト分やや多く混在する,24.31,24.15,26,10,24,6,10,10,50,16,24.31,4,0,7.00,7.50,99,現場透水試験,1.54E-06,23.15,23.45,L-4.6KP-1P-23,100,2010-03-23,1,5.75,19,2010-03-27,24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,,,,,,,,,,,,,,,,,,,,,,,,非常に軟らかい,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-7号 姉川補助河川総合流域防災事業土質調査業務委託,08,09,L-2.0KP(No.20)表法肩,14,7,136,13,53.0000,35,24,3.0000,02,0,1,滋賀県長浜市川道町,5336,01,88,滋賀県長浜土木事務所,22501106,2010-01-12,2010-06-30,彦根鑿泉株式会社,92.95,16.50,1,0.00,0.00,YBM製　05D,,3,ヤンマー製　NFAD-8,,,2,,2,カノ製　V4-P,,,,16.50,粘土混じり砂礫,GS-C,1,531120004,16.50,暗青灰～褐灰～暗青灰,14.00,16.50,φ2～20mmの礫主体\n亜角礫～亜円礫主体\n含水やや多い\n14.8～15.15m間砂を挟む\n15.15m付近有機物を少量混入する,16.50,16.15,8,10,10,10,10,10,28,30,16.50,9,0,,,,,,14.15,14.45,P-14,100,2010-01-29,9,6.25,99,2010-01-30,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中位の,,,,,,,,,,,,,,,,,,不明,現場透水試験,8.00,8.50,k=6.7E-2cm/s,比重含水粒度,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-7号 姉川補助河川総合流域防災事業土質調査業務委託,08,09,L-3.5KP表法肩,14,13,136,14,38.0000,35,24,33.0000,02,0,1,滋賀県長浜市難波町,5336,01,99,滋賀県長浜土木事務所,22501106,2010-01-12,2010-06-30,彦根鑿泉株式会社,94.55,16.50,1,0.00,0.00,YBM製　05D,,3,ヤンマー製　NFAD-8,,,2,,2,カノ製　V4-P,,,,16.50,シルト混じり砂,S-M,1,531213003,16.50,暗灰,15.60,16.50,細砂主体　均質なもの　含水中位,16.50,16.15,3,10,3,10,4,10,10,30,16.50,9,0,,,,,,12.15,12.45,P-12,100,2010-02-09,9,6.56,99,2010-02-09,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中位の,,,,,,,,,,,,,,,,,,不明,現場透水試験,11.00,11.50,k=1.6E-2,物理一式,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-10号 高時川補助河川総合流域防災事業土質調査業務委託(その3),08,21,L-2.1KP-1,21,7,136,14,38.2000,35,25,37.6000,02,1,1,滋賀県長浜市錦織町 他,5336,11,19,滋賀県長浜土木事務所,22501106,2010-03-05,2010-03-08,株式会社石居設計,98.62,15.45,1,0.00,0.00,YBM-05,,,ヤンマーNFD-9,,,9,半自動落下装置,2,カノーV-6,,l/min,,15.45,粘土,CH,1,532120000,15.45,暗緑灰,13.10,15.45,粘性やや強い\n混入物ほとんどなく均質,15.45,15.15,2,10,1,10,2,10,5,30,15.45,0,2,7.50,8.00,99,現場透水試験,1.07E-06,14.15,14.45,L-2.1KP-1P-14,100,2010-03-05,1,5.80,19,2010-03-08,15.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第B3R1-09号 国道303号補助緊急地方道路整備調査委託,01,04,No.6-3(STA.No26+90.0 R14),6,3,135,57,21.9500,35,24,03.6900,01,2,1,滋賀県高島市今津町今津,5335,07,86,滋賀県高島土木事務所,22501108,2010-04-08,2010-06-14,東邦地水株式会社,207.84,12.00,2,0.00,32.00,TOHO_D0-C,100,1,NFAD-8,5.9,kw,2,,2,MARUYAMA-MS330,30,l/min,3,12.00,破砕帯/頁岩,Tl,1,,12.00,黄灰色～黄褐色,5.20,12.00,[5.20]GL-5.2m以深、頁岩起源の破砕帯。GL-5.2～6.55m間、砂状～一部粘土状、灰色のガウジが一部認められる。\n[7.65]GL-7.65～9.0m間、一部砂岩を含む。混在岩の破砕帯をなす。\n[9.00]GL-9.0～9.5m岩片状頁岩、高角度割れ目発達する。角度約80°\n[9.45]GL-9.45～10.6m間、部分的に赤褐色風化部有。褐鉄鉱濃集部と考えられる。\n[11.25]GL-11.25～11.80m、珪質頁岩、層理面角度50°。ヘアークラック発達。,12.00,11.00,50,1,5,10,9,10,50,1,,,,,,,,,,,,,2010-06-14,1,9.00,19,2010-06-14,12.00,12.00,015,E,極軟,マサ状、粘土状。a,12.00,014,018,VIII,コアの採取ができないもの。スライムも含む。,12.00,015,014,d,割れ目として認識できない角礫状、砂状、粘土状コア。,12.00,013,015,ε,強風化している。石英および一部の長石を除きほとんど変質し原岩組織は失われている。,12.00,014,,,,,,,,12.00,86,2,φ86ケーシング,12.00,72,12.00,D,DB,12.00,300.0,12.00,170,12.00,0.2,2,2,2,,,,12.00,100,12.00,4,12.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,12.00,960,,111000000,,,,,,,,,,,,,,崩壊,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成29年度 第K29N-8号 姉川補助広域河川改修調査業務委託,平成29年度 第K29N-8号 姉川補助広域河川改修調査業務委託,08,09,L1+60 No.1,12,1,136,13,13.2000,35,23,24.4000,02,1,1,滋賀県長浜市南浜町他,5336,01,67,滋賀県長浜土木事務所,22501106,2017-12-19,2018-01-06,近畿設計測量株式会社,87.82,22.50,1,0.00,30.00,TOHO_D0-D,100,3,YANMAR　NFD8,6,kw,2,,2,TOHO BG3,50,l/min,3,22.50,砂,S,1,531211000,22.50,暗灰,17.90,22.50,粒径均一な細砂\n19.0m付近は少量のシルト分を含む\n20.0m以深は粗砂混入する\n21.6m付近はわずかに細礫混入\n含水中位,22.50,22.15,3,10,4,10,5,10,12,30,22.50,2,0,4.00,4.50,03,透水試験,3.20E-01,15.15,15.46,P-15,100,2017-12-21,2,3.48,12,2017-12-23,22.50,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成24年度 第800-5号 保坂地区急傾斜地崩壊対策調査委託,09,13,BV-1,3,2,135,56,28.2300,35,24,53.0100,02,1,1,滋賀県高島市今津町保坂,5335,07,95,滋賀県高島土木事務所,22501108,2013-02-20,2013-02-26,東邦地水株式会社滋賀営業所,232.56,15.00,2,0.00,40.00,東邦DO-C,100,3,NFAD-8,8,PS,2,,2,MARUYAMA-MS330,26.5,L/min,3,15.00,混在岩,Tl,3,111300012,15.00,暗灰,14.35,14.75,[14.35]14.35～14.75m間、破砕帯。粘土～岩片状コア主体、熱水変質の可能性あり。\n破砕帯の上面境界50°前後。,14.75,4.15,11,10,12,10,12,10,35,30,,,,,,,,,,,,,2013-03-01,4,7.65,12,2013-03-01,15.00,7.00,,,,,15.00,013,,,,15.00,014,,,,15.00,013,,,,15.00,012,,,,,15.00,011,掘削水,15.00,66,2,,15.00,143,15.00,D,DB,15.00,0.2,15.00,250,15.00,0.3,5,5,2,14.35,14.75,4,15.00,100,15.00,5,15.00,22,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.00,950,,100000003,,,,,,,,,,,,,,崩壊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-22号 姉川補助河川総合流域防災事業土質調査業務委託(その9),08,10,No.L13.4-bs,7,0002,136,20,26.3000,35,24,08.7000,02,1,1,滋賀県米原市井之口 他,5336,02,87,滋賀県長浜土木事務所,22501106,2010-11-01,2010-11-04,株式会社新明,140.80,14.38,1,0.00,0.00,東邦DO-D,,,ヤンマーNFD-10,,,9,半自動モンケン,9,BG-3C,,,,14.38,玉石混り砂礫,GS,1,531120000,14.38,暗灰,10.70,14.38,含水高位\n礫はφ2～30mm程度の亜角～亜円礫主体\n礫間は粒子不均一な砂\n玉石は推定φ80～100mm程度が不規則に点在,14.38,14.15,26,10,25,10,9,3,60,23,14.38,5,0,5.20,5.70,99,現場透水試験,1.95E-03,14.15,14.38,P2-14,100,2010-11-02,1,4.05,,2010-11-04,14.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成24年度 第800-3号 保坂地区急傾斜地崩壊対策調査委託,09,13,No.B-2,4,0002,135,56,27.8710,35,24,54.7250,01,4,1,滋賀県高島市今津町保坂,5335,07,95,滋賀県高島土木事務所,22501108,2012-12-06,2012-12-11,株式会社東京ソイルリサーチ,235.88,12.20,2,0.00,0.00,吉田_YBM-05,50,2,ヤンマー NFD-8,8,PS,2,,2,カノー V5,5,l/min,3,12.20,風化珪質粘板岩,Sl,1,531120004,12.20,暗青灰,7.60,12.20,角礫状～片状コア主体\n岩組織は明瞭\n岩片は若干軟質化\n20～30°程度の開口亀裂多い\n9.2m付近粘土化,12.20,12.15,60,5,31,10,24,10,60,5,,,,,,,,,,,,,2012-12-10,1,7.43,,2012-12-10,12.20,11.00,,,,,12.20,014,,,,12.20,015,,,,12.20,014,,,,12.20,014,,,,,12.20,,,11.00,86,2,,12.20,75,12.20,DCT,MC,12.20,60.0,12.20,150,12.20,0.2,4,2,9,,,,,,12.00,0,12.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,12.20,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,312010000,,,,,,,,,,,,
JIS A 0206-2008,,平成24年度 第800-3号 保坂地区急傾斜地崩壊対策調査委託,09,13,No.B-4,4,0003,135,56,27.7470,35,24,55.5430,01,4,1,滋賀県高島市今津町保坂,5335,07,95,滋賀県高島土木事務所,22501108,2012-11-30,2012-12-05,株式会社東京ソイルリサーチ,224.81,15.38,2,0.00,0.00,吉田_YBM-05,50,2,ヤンマー NFA-80,8,PS,2,,2,カノー V5-P,50,l/min,3,15.38,風化黒色粘板岩,Sl,1,531231040,15.38,暗灰～黒,7.50,15.38,砂礫状コア主体\n全体に破砕され粘土化\n一部、礫混じり粘土状を呈する\n2mm～20mmの破砕岩片みられる\n7.5m～9.0m間、ほぼ水平の方解石脈有\n8.5m～9.0m間、灰色を呈する\n9.5m付近、11.5m付近、垂直方向の方解石脈有,15.38,15.15,14,10,31,10,15,3,60,23,,,,,,,,,,,,,2012-12-04,1,3.87,,2012-12-04,13.40,13.00,,,,,15.38,015,,,,15.38,015,,,,15.38,014,,,,15.38,015,,,,,15.38,,,15.00,86,2,,15.38,150,15.38,DCT,MC,15.38,20.0,15.38,120,15.38,0.2,15,15,9,,,,15.00,100,15.00,0,15.00,0,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.38,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,312010000,,,,,,,,,,,,
JIS A 0206-2008,,平成21年度 第HK36-22号 姉川補助河川総合流域防災事業土質調査業務委託(その9),08,10,No.L14.4-CL,7,0003,136,21,01.4000,35,24,00.9000,02,1,1,滋賀県米原市井之口 他,5336,02,88,滋賀県長浜土木事務所,22501106,2010-10-18,2010-10-19,株式会社新明,149.28,14.45,1,0.00,0.00,東邦DO-D,,,ヤンマーNFD-12,,,4,,9,BG-3C,,,,14.45,シルト混り砂礫,GS-M,1,531120003,14.45,淡黄褐,9.70,14.45,含水高位\n礫はφ2～30mm程度の亜角～亜円礫主体\n礫間は粒子不均一なシルト混り砂\n風化礫点在　礫量やや不均一,14.45,14.15,25,10,9,10,15,10,49,30,14.45,5,0,4.50,5.00,99,現場透水試験,4.98E-03,13.15,13.45,P3-13,100,2010-10-18,1,4.10,,2010-10-19,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成24年度 第800-5号 保坂地区急傾斜地崩壊対策調査委託,09,13,BV-2,3,3,135,56,27.7400,35,24,53.2200,02,1,1,滋賀県高島市今津町保坂,5335,07,95,滋賀県高島土木事務所,22501108,2013-02-14,2013-02-20,東邦地水株式会社滋賀営業所,245.99,15.00,2,0.00,40.00,東邦DO-C,100,3,NFAD-8,8,PS,2,,2,MARUYAMA-MS330,26.5,L/min,3,15.00,混在岩,Tl,3,111300012,15.00,暗灰,14.55,14.85,[14.55]14.55～14.80m間、破砕帯。岩片状～粘土状コア主体。熱水変質の可能性あり。,14.85,3.00,50,4,21,10,20,8,50,4,,,,,,,,,,,,,2013-03-01,4,13.05,12,2013-03-01,15.00,8.00,,,,,15.00,013,,,,15.00,013,,,,15.00,013,,,,15.00,013,,,,,15.00,011,,15.00,66,2,,15.00,136,15.00,D,DB,15.00,0.2,15.00,250,15.00,0.3,5,0,2,14.55,14.85,4,15.00,100,15.00,8,15.00,16,備考,960,D,破砕帯・粘土化帯でコア採取不可能なもの。,15.00,940,,100000003,,,,,,,,,,,,,,崩壊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成25年度 第B121-12号 葛籠尾崎塩津線補助道路修繕調査業務委託,01,01,1-No.1,7,0001,136,09,09.4000,35,29,22.9000,02,1,1,滋賀県長浜市高月町片山,5336,11,82,滋賀県長浜土木事務所 木之本支所,22501107,2014-11-11,2014-11-18,双葉建設株式会社,338.02,12.00,2,0.00,0.00,YBM-05,50,3,ヤンマーNFAD8,8,ps,9,半自動落下装置,2,動噴カーツ,50,l/min,3,12.00,輝緑凝灰岩,,1,,12.00,暗緑灰,10.50,12.00,硬質な短柱状コア主体。\n亀裂多い。亀裂面は酸化褐色化する。\n11.10～11.15m間、角礫状。\n11.50m～縦亀裂で岩片状主体。\n,,12.00,50,0,2,10,9,10,50,0,1.30,0,4,,,,,,,,,,2014-11-17,2,8.50,12,,,,990,D～E,極軟,指先でへこむ～マサ状、粘土状,12.00,980,989,II～IV,長さ50-20cmの棒状コアから長さ10cm以下の短柱状～長さ10cm以下の短柱状～片状コアでかつコアの外周の一部が認められるもの,12.00,982,970,b～d,割れ目沿いの酸化変質は認められるが岩芯はほとんど風化変質していない。角礫状、砂状、粘土状コア,12.00,960,980,β～γ,新鮮である。層理面、片理面にそって部分的に酸化している。また、割れ目が酸化しており岩芯まで一部風化している。,12.00,970,960,2～3,弱変質中変質,原岩組織を完全に残し、一部変質程度(脱色)が進んでいるものの、20%以上非変質部の割合が高いもの,12.00,960,,,,,,,,,,,,,,,,,,,,,,,12.00,100,12.00,14,12.00,14,備考,970,D,砂礫状・粘土化帯でコア採取不可能なもの。,12.00,960,,,貫入試験,,,,国土地理院発行数値地図1/25000「竹生島」より読み取り,長柱状～短柱状,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,,平成23年度 第A801-02号 五番領安井川線補助道路整備調査委託,01,05,No.5,0004,0001,136,01,27.4000,35,20,42.0000,02,1,1,滋賀県高島市安曇川町常磐木　他,5336,00,11,滋賀県高島土木事務所,22501108,2011-11-15,2011-11-17,株式会社関西技研,97.25,11.05,1,0.00,0.00,　KR-50HC,50,3,　NFAD8,8,ps,2,　半自動落下装置,2,　VP-5,50,l/min,3,11.05,玉石混りシルト質砂礫,,1,,11.05,褐,8.10,11.05,φ5～50mmの亜円礫主体。\nマトリックス（礫間充填物）は細中砂。\n全体にシルト分混入。\n\n所々φ100mm程度の玉石点在。\n礫質は頁岩・チャート礫優勢。\n含水中位。\n\n11.00mの標準貫入試験は礫当り。\n,11.05,11.05,60,0,23,6,21,10,60,0,11.05,5,0,,,,,,,,,,2011-11-15,3,-0.15,12,2011-11-17,11.05,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入試験,,,,国土地理院発行　数値地図1/25000「今津」より読み取り,,,,,,,,,崩壊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
