調査名,ボーリング名,ボーリング総数,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,調査位置住所,コード1次,コード2次,コード3次,発注機関名称,調査期間_開始年月日,調査期間_終了年月日,調査会社_名称,調査会社_TEL,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,孔口標高,総掘進長,柱状図様式,掘進角度,試錐機_名称,エンジン_名称,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,ポンプ_名称,土質岩種区分_下端深度,土質岩種区分_土質岩種区分1,土質岩種区分_土質岩種記号1,土質岩種区分_分類コード1,土質岩種区分_土質岩種区分2,土質岩種区分_土質岩種記号2,土質岩種区分_分類コード2,色調_下端深度,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,観察記事枠線_下端深度,標準貫入試験_開始深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,相対密度稠度_下端深度,相対密度_コード,相対密度_状態,P波試験_上端深度,P波試験_下端深度,P波試験_起振方式,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_起振方式,S波試験_速度,フリー情報,相対稠度_コード,相対稠度_状態,地盤勾配,取得方法説明,読取精度コード
強震観測用施設の土質調査及びその他整備作業,GIF015,26,15,136,54,25.9,35,32,43.4,1,岐阜県美濃市1350,5336,27,52,独立行政法人　防災科学技術研究所,1996-1-8,1996-1-26,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,野間　良一,96,11.01,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,11.01,風化岩,WR,07300,,,,11.01,褐灰,9.5,11,基岩（凝灰角礫岩）の風化帯であり、全体に非常に脆い岩質である。\n礫部は、φ10cm前後の角礫が多く、短柱状コアとして採取される。,11.01,11,50,1,18,10,13,7,50,1,11.01,5,非常に密な,8.00,11.00,不明,2000,8.00,11.00,不明,630,2009-09-10 09:21:03XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,ISK014,14,14,136,18,55.4,36,18,10.1,1,石川県加賀市大聖寺南町ニ41番地,5436,32,65,独立行政法人　防災科学技術研究所,1995-11-28,1995-11-29,中央開発株式会社　北陸営業所,0764-23-1388,,,高畑　久,高畑　久,4,20.45,1,0,KR-100H,NFD　8　,4,コーンプーリー,9,V5-P,20.45,砂質シルト,MS,03120,,,,20.45,暗灰,16,19,腐植物少量混入\n所々軟粒砂不規則に挟む,20.45,20.15,2,10,2,10,3,10,7,30,20.45,2,緩い,2.00,20.00,不明,1550,15.00,20.00,不明,130,2009-09-10 09:20:51XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),2,中位,,,
強震観測用施設の土質調査及びその他整備作業,GIF017,26,17,136,34,4.4,35,29,13.2,1,岐阜県揖斐郡揖斐川町三輪133,5336,14,85,独立行政法人　防災科学技術研究所,1996-2-3,1996-2-19,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,内山　淳一,42,20.06,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,20.06,玉石混じり砂礫,GS-B,01501,,,,20.06,茶褐,10,13.5,φ300mm程度の玉石を各所に混入する砂礫で、全体に良く締まっている。\nマトリックスは、上部で細砂、下部で粗砂となる。\n玉石は、非常に硬質なチャート・砂岩多い。,20.06,20,50,5,14,10,14,10,50,5,20.06,4,密な,4.00,20.00,不明,1820,16.00,20.00,不明,710,2009-09-10 09:21:03XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,GIF026,26,26,136,44,29,35,35,28.3,1,岐阜県山県郡美山町谷合1358-1,5336,35,09,独立行政法人　防災科学技術研究所,1995-12-27,1996-1-27,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,野間　良一,145,10,1,0,東邦地下工機,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3,10,岩盤,HR,07100,,,,10,暗灰,7,9,上部風化進む粘板岩であり、粘土化する。\n下部は、砂岩狭在し、棒状コアも採取される。,10,10,50,1,2,10,2,10,50,0,10,3,中ぐらい,5.00,10.00,不明,2000,5.00,10.00,不明,530,2009-09-10 09:21:05XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,GIF025,26,25,136,47,4.9,35,43,24.2,1,岐阜県武儀郡板取村2305,5336,46,62,独立行政法人　防災科学技術研究所,1995-12-19,1996-1-27,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,田中　淳一,351,11.43,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,11.43,岩盤,HR,07100,,,,11.43,緑灰,10,11,風化進行した緑色岩で、割れ目周辺の褐色化著しく軟質化している。,11.43,11.15,15,10,16,10,19,8,50,28,11.43,4,密な,8.00,11.00,不明,1670,8.00,11.00,不明,610,2009-09-10 09:21:05XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,SIG004,12,4,135,55,6.2,35,20,51.4,1,滋賀県高島郡朽木村字柏179-1　学童農園管理棟敷地,5335,07,13,独立行政法人　防災科学技術研究所,1995-12-7,1996-1-18,大成建設株式会社,045-814-7237,飯星　茂,西野　誠二,山口　道則,古田　芳彦,186.73,14.09,1,0,OK-Ⅱ型,NFAD9,3,トンビ,9,カノ-V6,14.09,岩盤,HR,07100,,,,14.09,暗緑灰,12,14,上部は風化が著しく、粘性化している風化岩である。\n下部は礫状のコアで採取される。,14.09,14.05,50,4,21,10,12,4,50,4,14.09,5,非常に密な,12.00,14.00,不明,1800,12.00,14.00,不明,420,2009-09-10 09:21:19XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),1,軟らかい,,,
強震観測用施設の土質調査及びその他整備作業,GIF020,26,20,136,45,19.1,35,25,27.5,1,岐阜県岐阜市京町3-19,5336,16,00,独立行政法人　防災科学技術研究所,1996-1-24,1996-2-20,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,内山　淳一,13,20.05,1,0,東邦地下工機　YBM-05,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,20.05,玉石混じり砂礫,GS-B,01501,,,,20.05,茶褐,11.5,14,φ300～450mmの玉石を各所に混入する砂礫。\n8m付近より漏水が確認され、10m付近で全透水し、同時に孔壁崩壊著しい。,20.05,20,50,5,9,2,9,6,50,5,20.05,4,密な,3.00,20.00,不明,1500,6.00,20.00,不明,450,2009-09-10 09:21:04XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,GIF009,26,9,136,49,52,35,55,18.8,1,岐阜県郡上郡白鳥町字三味402-11,5336,76,06,独立行政法人　防災科学技術研究所,1995-12-8,1995-12-17,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,野間　良一,450,20,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,20,玉石混じり砂礫,GS-B,01501,,,,20,暗灰,8,12,全体としては、φmax70cmの安山岩玉石を多量に混入する砂礫よりなり、各所に粘性土あるいは砂の薄層を狭在する。礫は、φ2～60mmの安山岩の亜円礫が多い。マトリックスは、細砂～粗砂を主体とする。,20,20,50,3,26,3,10,10,50,0,20,4,密な,2.00,20.00,不明,2110,10.00,20.00,不明,570,2009-09-10 09:21:02XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,GIF021,26,21,137,0,0,35,26,33.4,1,岐阜県美濃加茂市西町3丁目,5337,10,30,独立行政法人　防災科学技術研究所,1996-1-11,1996-1-26,大成建設株式会社,045-814-7237,飯星　茂,佐野　晴彦,小熊　健一,内山　淳一,72,15.12,1,0,東邦地下工機　D-0C,ヤンマー　NFAD8,4,コーンプーリー,9,東邦地下工機　BG-3C,15.12,岩盤,HR,07100,,,,15.12,暗褐,13.8,14.8,風化著しく手で崩せる程度の凝灰角礫岩。,15.12,15,38,10,12,2,7,5,50,12,15.12,5,非常に密な,3.00,15.00,不明,1530,3.00,15.00,不明,640,2009-09-10 09:21:04XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,SIG001,12,1,136,12,23.4,35,32,23.3,1,滋賀県伊香郡余呉町中之郷字前川1194-2　町営バス車庫基地,5336,21,46,独立行政法人　防災科学技術研究所,1995-12-21,1996-1-19,大成建設株式会社,045-814-7237,飯星　茂,西野　誠二,山口　道則,古田　芳彦,141,20.5,1,0,YBM-05,NF-10,3,トンビ,9,SP-8,20.5,礫,G,01100,,,,20.5,茶褐,19.7,20.5,細～中砂と径2～30mmの礫からなる砂礫。\n全体に極少量の粘土を混入。,20.5,20.15,14,10,14,10,13,10,41,30,20.5,4,密な,15.00,20.00,不明,2270,15.00,20.00,不明,440,2009-09-10 09:21:19XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),3,硬い,,,
強震観測用施設の土質調査及びその他整備作業,SIG003,12,3,136,15,50.4,35,22,37.2,1,滋賀県長浜市公園町1324　長浜市民テニスコート場内,5336,02,51,独立行政法人　防災科学技術研究所,1996-1-11,1996-1-17,大成建設株式会社,045-814-7237,飯星　茂,西野　誠二,山口　道則,古田　芳彦,86.38,20.5,1,0,OK-Ⅱ型,NFAD9,3,トンビ,9,カノ-V6,20.5,砂,S,02100,,,,20.5,暗灰,19,20,細～中砂。\n径2～8mmの礫を点在する。\n下部は中～粗砂主体となる。,20.5,20.15,11,10,14,10,20,10,45,30,20.5,4,密な,11.00,20.00,不明,1250,11.00,20.00,不明,380,2009-09-10 09:21:19XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),3,硬い,,,
強震観測用施設の土質調査及びその他整備作業,SIG002,12,2,136,1,27.5,35,25,17.4,1,滋賀県高島郡今津町日置前字平ノ前1149-3　今津北コミュニティセンター南側広場,5336,10,01,独立行政法人　防災科学技術研究所,1995-12-15,1996-1-18,大成建設株式会社,045-814-7237,飯星　茂,西野　誠二,山口　道則,古田　芳彦,95.08,20.25,1,0,OK-Ⅱ型,NFAD9,3,トンビ,9,カノ-V6,20.25,礫,G,01100,,,,20.25,暗褐灰,18.5,20.25,細～粗砂と径2～40mmの礫からなる砂礫。\nGL-19.0m付近に径100mm位の玉石を混入。,20.25,20.15,50,10,3,10,16,10,50,10,20.25,5,非常に密な,12.00,20.00,不明,2100,12.00,20.00,不明,600,2009-09-10 09:21:19XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),4,非常に硬い,,,
土質調査(敦賀観測施設　FKI007),FKI007_new,1,1,136,3,27,35,38,40.9,1,福井県敦賀市中央町1丁目1601番(松島第2公園内),5336,30,74,独立行政法人　防災科学技術研究所,2006-2-20,2006-2-22,㈱エオネックス,076-238-1181,武田　浩,山田　信一,山田　信一,門田　真,4.07,20.45,1,0,カノーKR-100HC,ヤンマーNFAD-8,1,自動落下,9,GP-5,20.45,砂,S,02100,,,,20.45,暗灰,19.8,20.4,粒子均一な微粒砂で、シルト及び有機物混入。,20.45,20.15,,,,,,,44,30,20.45,4,密な,15.00,20.00,不明,1840,15.00,20.00,不明,320,2009-09-10 09:20:52XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),4,非常に硬い,0,　,　
強震観測用施設の土質調査及びその他整備作業,FKI006,11,6,136,11,59.3,35,46,23.2,1,福井県南条郡今庄町今庄84-24-2　総合保健センターの植樹帯,5336,51,25,独立行政法人　防災科学技術研究所,1995-12-7,1995-12-23,大成建設株式会社,045-814-7237,飯星　茂,山根　英雄,渡部　敏雄,桑原　耕治,127.45,10.45,1,0,TBM-05,ヤンマー8PS,1,自動落下,9,GP-5,10.45,軟岩,WR,07300,風化岩,WR,07300,10.45,黄褐～暗褐,7.5,10.45,全体に古生代・中期～後期、中部ブロック中～後期二畳系に相当する砂岩である。\n固結度は比較的高いが、所々亀裂を有し、褐色に酸化変色する。\nコアは概ね角礫状となり、一部で短棒状を呈する。\n9.0～10.0m間は、上位に比べて固結度は低く、酸化変色が激しい。,10.45,10.15,18,10,32,10,4,2,50,20,10.45,5,非常に密な,3.00,10.00,不明,2200,5.00,10.00,不明,630,2009-09-10 09:20:52XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,FKI004,11,4,136,29,11.4,35,58,44,1,福井県大野市天神町1-19　多田記念大野有終会館AS駐車場,5336,73,78,独立行政法人　防災科学技術研究所,1995-11-27,1995-12-23,大成建設株式会社,045-814-7237,飯星　茂,山根　英雄,渡部　敏雄,桑原　耕治,175,20.37,1,0,YBM-05,ヤンマー8PS,1,自動落下,9,GP-5,20.37,砂混り礫質土,GF-S,01003,礫混り粘土質砂質土,SF-G,02002,20.37,茶褐,20.25,20.37,φ5～30m/m前後の亜円礫および中砂からなり、砂礫状を呈する。\n非常に良く締まっている。,20.37,20.15,11,10,23,10,16,2,50,22,20.37,5,非常に密な,3.00,20.00,不明,1700,4.00,20.00,不明,450,2009-09-10 09:20:51XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),2,中位,,,
強震観測用施設の土質調査及びその他整備作業,FKI010,11,10,135,33,3.6,35,29,25.4,1,福井県大飯郡高浜町大字宮崎68-3　庁舎横の砕石敷駐車場,5335,14,84,独立行政法人　防災科学技術研究所,1996-1-31,1996-2-22,大成建設株式会社,045-814-7237,飯星　茂,山根　英雄,渡部　敏雄,桑原　耕治,2,20.5,1,0,YBM-05,ヤンマーHFAD-8PS,1,自動落下,9,SP-30PS,0.3,表土,SF,09600,砂利・礫混り砂質土,G-G,01102,20.5,暗緑灰,18,20.5,全体に細砂～微細砂よりなり、極めて均質である。\n局部的に細粒分を混入する。\nまた、貝殻細片を混入する。\n上部、含水量少なく、下部に従い幾分多くなる。\n20.0m付近は、シルト分を多く含み、幾分軟質となる。,0.3,20.15,1,10,2,10,2,10,5,30,0.3,,,3.00,20.00,不明,1500,3.00,20.00,不明,210,2009-09-10 09:20:53XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,FKI011,11,11,136,40,14.2,35,54,19.1,1,福井県大野郡和泉村川合第9号9番　和泉村グラウンドの植樹帯,5336,65,83,独立行政法人　防災科学技術研究所,1995-11-20,1995-12-23,大成建設株式会社,045-814-7237,飯星　茂,山根　英雄,渡部　敏雄,桑原　耕治,431.83,12.09,1,0,BELL-LM-50,ヤンマー8PS,1,自動落下,9,BELL-SP-8,12.09,軟岩,WR,07300,風化岩,WR,07300,12.09,黒灰,10.8,12.09,11.0m付近より、比較的新鮮な岩に変わるが、風化が激しい。\n風化頁岩である。,12.09,12,50,8,9,1,3,10,50,8,12.09,5,非常に密な,3.00,12.00,不明,1500,3.00,12.00,不明,450,2009-09-10 09:20:53XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,FKI005,11,5,136,10,27.5,35,54,24.1,1,福井県武生市村国2丁目64字30番　武生市村国浄化場の緑地帯,5336,61,83,独立行政法人　防災科学技術研究所,1996-1-8,1996-2-22,大成建設株式会社,045-814-7237,飯星　茂,山根　英雄,渡部　敏雄,桑原　耕治,32.01,19.31,1,0,YBM-05,ヤンマー8PS,1,自動落下,9,GP50,19.31,ｼﾙﾄ混り砂質礫質土,GF-M,01004,礫混り砂質粘性土,CS-G,03022,19.31,黄茶灰,17.7,19.3,17.8m付近より漏水する。\n全体に、φ5～30m/m程度の亜角礫および角礫を主体とする。\n礫質は硬質である。\nマトリックスは、中砂～粗砂が優勢で、少量の粘性土も含む。\n19.4m付近にて硬質な礫を確認し掘進不能となる。,19.31,19.05,26,10,24,6,7,10,50,16,19.31,5,非常に密な,4.00,19.00,不明,1800,4.00,19.00,不明,500,2009-09-10 09:20:52XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
強震観測用施設の土質調査及びその他整備作業,FKI001,11,1,136,9,25.55222,36,12,57.91179,1,福井県坂井郡三国町錦１丁目819　町営総合水泳場の緑地帯,5436,21,52,独立行政法人　防災科学技術研究所,1996-1-11,1996-2-23,大成建設株式会社,045-814-7237,飯星　茂,山根　英雄,渡部　敏雄,桑原　耕治,20.02,10.04,1,0,TDC-1G,MFD-150,1,自動落下,9,V6-40L,10.04,軟岩,WR,07300,風化岩,WR,07300,10.04,暗灰,9.4,10,9.4m付近より、弱風化凝灰岩となり、コアー状となるが、岩質は脆い。\n含水量は少ない。,10.04,10,50,4,18,8,10,10,50,4,10.04,4,密な,4.00,10.00,不明,650,4.00,10.00,不明,350,2009-09-10 09:20:51XML変換実行(ボーリング柱状図ＸＭＬ変換システム '2009-09-08 14:00),,,,,
