適用規格,調査名,調査目的,調査対象,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進方向,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,色調_下端深度,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,孔内水位_孔内水位,バージョン変換情報,事業工事名,ボーリング名,ボーリング総数,取得方法コード,読取精度コード,調査期間_開始年月日,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,掘進角度,地盤勾配,試錐機_名称,試錐機_能力,試錐機_方法,エンジン_名称,ハンマー落下用具_コード,ハンマー落下用具_名称,N値記録用具_コード,N値記録用具_名称,ポンプ_名称,岩石土区分_岩石土記号,岩石土区分_岩石,色調_色調名,観察記事_上端深度,観察記事_下端深度,観察記事_記事,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_区分,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_掘削状況,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,孔径孔壁保護_孔壁保護実施理由,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,地質柱状図様式,ハンマ落下用具_コード,ハンマ落下用具_名称,岩石土区分_岩相,色調_状態,観察記事枠線_下端深度,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_降伏圧,孔内水平載荷試験_変形係数,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_試験方法,透水試験_透水係数,P波試験_上端深度,P波試験_下端深度,P波試験_速度,S波試験_上端深度,S波試験_下端深度,S波試験_速度,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,孔径孔壁保護_孔壁保護方法,標準貫入試験_備考,座標定義,座標,エンジン_能力,エンジン_単位,ポンプ_能力,ポンプ_単位,櫓種類コード,相対密度稠度_下端深度,相対密度_コード,相対密度_状態,相対稠度_コード,相対稠度_状態,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_区分,割れ目区分判定表_説明,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_区分,風化区分判定表_説明,孔内水平載荷試験_載荷パターン,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,送水条件_送水種類,孔内水位_水位種別備考,取得方法説明,岩石土区分_変成岩岩石,試料採取_試験名,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,掘進方位,P波試験_起振方式,S波試験_起振方式,試料採取_採取方法,保孔管_下端深度,保孔管_種別コード,保孔管_備考,フリー情報
JIS A 0206-2008,新木曽川橋及び円城寺橋基礎地質調査工事,18,21,1  ,136,46,58.657,35,22,4.498,1,5336,06,42,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,7.93,30.17,1,000,030.17,玉石混り礫質土,1,030.17,030.00,50,17,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,S,531211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状糸貫地区地質調査,01,01,6  ,136,40,38.778,35,27,47.549,1,5336,15,54,国土交通省 中部地方整備局 岐阜国道事務所,2001-01,日本物理探鑛株式会社　中部支店,24.09,13.40,1,000,013.40,砂質土,1,013.40,013.15,50,25,012.15,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,2,,,,,SF,531200000,灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,005.50,01,10.20,40.90,00974.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,坂祝バイパス建設事業,01,01,19,136,56,16.2040,35,24,11.2970,1,5336,07,85,国土交通省岐阜国道工事事務所,2001-12-17,サンコーコンサルタント株式会社,54.00,11.29,1,,11.29,玉石混じり砂礫,1,11.29,11.15,50,14,6.20,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成13年度　坂祝バイパス各務原地区地質調査,No.19,20,02,1,2001-12-12,福間敏夫,加治佐　恵,福間敏夫,飯島文男,0.00,10.00,YSO-1,150,2,NFD-9,1,全自動型,2,野張,カノー　V-6,M,532110000,灰～淡灰,5.90,11.29,φ１～10?円から亜円礫の濃飛流紋岩・花崗斑岩、砂からなる。\n砂は中～粗砂からなる。\nしまり良好。,,,,,,,,,,,,,,,,,,,,,,,2001-12-17,,11.29,,2001-12-15,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200001,,11.29,28,10,22,4,4,1,,,,,,,,,,,,,,,,,5.15,5.90,19-T,400,,,,,,,,7,-20522.409,5,h.p.,60,l/min,3,11.29,5,非常に密な,0,中位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,坂祝バイパス建設事業,01,01,5,136,56,40.5000,35,25,2.6920,1,5336,17,05,国土交通省中部整備局岐阜国道工事事務所調査課,2002-01-28,サンコーコンサルタント株式会社,88.72,6.00,1,,6.00,軟岩,1,6.00,2.00,50,0,0.90,2018/04/16 13:37 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),平成13年度　坂祝バイパス各務原地区地質調査,No.5,20,02,1,2002-01-26,福間敏夫,加治佐　恵,福間敏夫,大和田佳彦,0.00,20.00,東邦　D0-D,50,2,NFAD-8,1,全自動型,2,野張,カノー　V-6,WR,999010004,暗灰～黒,1.00,6.00,粘板岩岩片は硬いが、開口亀裂多く、岩片状～短柱状コアからなる。ＣL～ＣM級。亀裂面は褐色化。,,,,,,,,,,,,,,,,,,,,,,,2002-01-28,,6.00,,2002-01-28,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,50,0,10,2,,,,,,,,,,,,,,,,,,,1.00,1.17,5-1,100,1.00,6.00,中生代ジュラ紀,000000000,000000000,,,7,-19919.540,6,h.p.,60,l/min,3,6.00,0,中ぐらい,0,,1.00,6.00,美濃帯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和５２年度徳田架外１件地質調査（徳田地区）,01,05,2  ,136,46,33.357,35,23,16.789,1,5336,06,62,国土交通省 中部地方整備局 岐阜国道事務所,1977-10,東建地質調査株式会社,9.92,18.30,1,000,018.30,礫質土,1,018.30,018.15,50,15,003.80,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,GF,531100000,暗褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004.12,02,00.75,02.45,00035.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成４年東海環状自動車道富加、関ＩＣ地質調査,01,01,5  ,136,58,15.28,35,30,29.957,1,5336,27,07,国土交通省 中部地方整備局 岐阜国道事務所,1993-02,中央開発株式会社,84.92,7.00,2,000,007.00,軟岩・風化岩,1,007.00,003.15,28,30,001.70,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,FI,,青灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成９年度長良川上流部外２件堤防詳細点検,08,21,13 ,136,42,21.478,35,23,43.58,1,5336,05,76,国土交通省 中部地方整備局 木曽川上流河川事務所,1998-05,国際航業（株）,11.46,14.50,1,000,014.50,砂,1,014.50,014.15,28,30,006.67,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,S,531211000,暗灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,007.50,008.00,,,3.33E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,昭和６１年度岐阜東バイパス（岩戸地区）地質調査,01,01,14 ,136,47,7.35,35,25,3.477,1,5336,16,02,国土交通省 中部地方整備局 岐阜国道事務所,1987-01,中央開発（株）,11.92,12.00,1,000,012.00,粘土質高有機質土(腐植土),1,012.00,011.00,60,13,,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,000,,,,,,2,,,,,M-S,532110002,褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１１年度　２１号関ヶ原バイパス野上地区地質調査,01,01,4  ,136,30,12.845,35,22,20.771,1,5336,04,40,国土交通省 中部地方整備局 岐阜国道事務所,2000-02,株式会社ダイヤコンサルタント,69.60,23.38,1,000,023.38,岩盤,1,023.38,023.15,50,23,004.80,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,3,,,,,SM,999040001,暗青灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,大名田堤防調査報告,18,21,1  ,136,44,6.766,35,25,2.473,1,5336,15,08,国土交通省 中部地方整備局 中部技術事務所,1978-03,＊,14.22,13.00,1,000,013.00,砂混り礫,1,013.00,005.00,42,30,005.20,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,G-S,531112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,平成１２年度東海環状富加地区地質調査,01,01,10 ,137,0,2.573,35,29,20.267,1,5337,10,80,国土交通省 中部地方整備局 岐阜国道事務所,2000-10,中央開発株式会社中部支店,116.43,7.00,1,000,007.00,軟岩・風化岩,1,007.00,004.00,99,30,003.65,2018/04/16 13:36 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,4,,,,,,,灰褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
