no,data_name_e,file_name,jigyou_name,chousa_name,chousa_mokuteki,chousa_taishou,boring_name,hacchuu_kikan,start_date,end_date,bor_level,bor_length,pdf,test_xml,s_val1max,s_val4,s_val5,s_val6,s_val7,s_val8,s_val9,s_val10,s_val11,s_val12,bor_id,address,download_h,model,lng,lat
85,BOREHOLE_FUKUI,18000210672004341-BED0001,,令和2年度　農村地域防災減災事業　福井第2地区(丹南地区)業務委託第14号,58,06,新溜BV-1,福井県　丹南農林総合事務所,2021-06-15,2021-06-16,138.41,4,0,0,6,0.26,0000,111101,000000000,00000,0000,0000,0000,000,312909,福井県丹生郡越前町小曽原　地係,1,0,136.06907822222,35.928800444444
86,BOREHOLE_FUKUI,18000210672004337-BED0003,,令和2年度　農村地域防災減災事業　福井第2地区(丹南地区)業務委託第12号,69,06,寺谷溜B.No.1,福井県丹南農林総合事務所,2021-06-07,2021-06-11,-0.5,7.35,0,0,50,2.45,0000,111100,000000000,00000,0000,0000,0000,000,312910,福井県越前市氷坂町,1,0,136.13998333333,35.925277222222
87,BOREHOLE_FUKUI,18000230652004106-BED0004,,道路改良工事地質調査業務委託02-02-02-10,01,01,R2.SD.BV-2,福井県福井土木事務所,2021-05-19,2021-05-21,117.87,15,0,0,50,13.1,0000,000000,000000000,00000,0000,0000,0000,000,312939,福井県福井市境寺町,1,0,136.37768330556,36.000045722222
88,BOREHOLE_FUKUI,18000230652101068-BED0001,,道路防災対策工事地質調査業務委託03-02-122-05,09,13,BV3-1,福井県福井土木事務所,2021-08-07,2021-08-09,123.1,15,0,0,40,7,0000,000000,000000000,00000,0000,0000,0000,000,312944,主要地方道武生美山線福井市蔵作町地係,1,0,136.36805077778,35.983268777778
89,BOREHOLE_FUKUI,18000230962004566-BED0002,河川改修工事　地質調査業務委託２－１０－１２５,河川改修工事　地質調査業務委託２－１０－１２５,08,05,BV-8,福井県丹南土木事務所,2021-06-16,2021-06-28,23.23,49.01,0,0,50,0.6,0000,111100,111011100,11111,0000,0000,0000,000,312983,１級河川服部川　越前市東庄境町地係,1,0,136.25112777778,35.937747222222
90,BOREHOLE_FUKUI,18000210472001095-BED0003,令和2年度経営体育成基盤整備事業(土地総) 坂井西部1期地区業務委託第6号,令和2年度経営体育成基盤整備事業(土地総) 坂井西部1期地区業務委託第6号,83,01,B.No.3,福井県坂井農林総合事務所,2020-10-08,2020-10-09,1.34,5.45,0,0,20,1.7,0000,111100,000000000,00000,0000,0000,0000,000,311710,坂井市坂井町折戸,1,0,136.16937777778,36.172877777778
91,BOREHOLE_FUKUI,18000210672001808-BED0007,,令和2年度 農村地域防災減災事業 福井第2地区（丹南地区）業務委託第2号,69,06,開BV-1,福井県丹南農林総合事務所,2020-08-06,2020-12-11,49.83,9.45,0,0,18,3.14,0000,111101,000000000,00000,0000,0000,0000,000,311742,福井県越前市横根町他 地係,1,0,136.13568308333,35.908169083333
92,BOREHOLE_FUKUI,18000210672001808-BED0006,,令和2年度 農村地域防災減災事業 福井第2地区（丹南地区）業務委託第2号,69,06,法BV-2,福井県丹南農林総合事務所,2020-08-06,2020-12-11,45.87,9.45,0,0,50,3.6,0000,111101,000000000,00000,0000,0000,0000,000,311743,福井県越前市横根町他 地係,1,0,136.12673758333,35.912932888889
93,BOREHOLE_FUKUI,18000231451901221-BED0004,調査業務委託30-4,道路改良工事（社会資本整備総合交付金（広域連携））,01,13,BV-5,福井県土木部　敦賀土木事務所,2019-12-02,2019-12-11,87.38,30,0,0,50,1.8,0000,111101,000000000,00000,0000,0000,0000,000,311879,福井県三方上中郡若狭町小川地係,1,0,135.84655844444,35.604825444444
94,BOREHOLE_FUKUI,18000231451904893-BED0001,,広域河川改修工事（防災・安全交付金）（緊急対策）地質調査業務委託31-12,01,01,R2-B1,福井県嶺南振興局敦賀土木事務所,2020-04-15,2020-04-28,1.91,49.08,0,0,50,1.47,0000,111101,000000000,00000,0000,0000,1100,111,311880,二級河川笙の川　敦賀市松栄町地係,1,0,136.05927777778,35.655588888889
95,BOREHOLE_FUKUI,18000238101401602-BED0001,,県立ライフル射撃場地質調査委託,14,01,BV-1,福井県土木部建築住宅課営繕室,2014-07-22,2014-07-29,33.26,18.18,0,0,50,1.8,0000,111111,110111100,00000,0000,0000,0000,000,309118,福井県福井市杉谷町地係,1,0,136.19452230556,36.011141805556
96,BOREHOLE_FUKUI,18000231551902271-BED0003,,通常砂防工事(防災・安全交付金)調査業務委託　東相生1-3(井根谷川),09,01,B-3(No0-0.2、R26.3),福井県嶺南振興局　小浜土木事務所,2019-12-09,2019-12-10,91.64,5.43,0,0,50,-9999,0000,000000,000000000,00000,0000,0000,0000,000,311890,福井県　小浜市　東相生　地係,1,0,135.70277777778,35.441194444444
98,BOREHOLE_FUKUI,BED10418000011768,急傾斜地崩壊対策工事　調査・設計業務委託,急傾斜地崩壊対策工事　調査・設計業務委託,09,01,B.No.3,福井県嶺南振興局敦賀土木事務所,2003-08-01,2003-12-18,86.06,7.14,0,0,50,2.7,0000,000000,000000000,00000,0000,0000,1100,111,309740,寄積第2地区　三方郡美浜町新庄地係,1,0,135.97298736111,35.568544305556
99,BOREHOLE_FUKUI,BED10418000013337,,敦賀地区原子力災害応急対策拠点(仮称)整備事業地質調査委託,18,21,No.7,福井県土木部営繕課,2000-07-25,2000-07-26,0.18,10,0,0,60,-9999,0000,000000,000000000,00000,0000,0000,0000,000,310775,敦賀市金山　地係,1,0,136.027828278938,35.6307611389837
101,BOREHOLE_FUKUI,18000230962000309-BED0003,,砂防工事地質調査業務委託２－２－１４０,09,10,Br-3,福井県丹南土木事務所,2020-10-19,2020-10-21,185.38,14.45,0,0,32,-0.2,0000,000000,000000000,00000,0000,0000,0000,000,311862,横谷川　福井県越前市入谷町地係,1,0,136.27873333333,35.877019444444
102,BOREHOLE_FUKUI,18000103101305645-BED0003,平成25年度災害関連緊急治山工事調査測量業務委託,小浜市忠野(宮谷),09,13,BV-3,嶺南振興局林業水産部,2014-05-09,2014-05-15,260.44,15,0,0,50,3.2,0000,000000,000000000,00000,0000,0000,0000,000,306933,福井県小浜市忠野,1,0,135.79534694444,35.456527777778
103,BOREHOLE_FUKUI,BED10418000011757,,通常砂防工事　土質調査業務委託,09,06,B-3,大野土木事務所,2003-10-08,2003-11-28,670.83,8,0,0,50,3.5,0000,000000,000000000,00000,0000,0000,1100,111,309729,"大野郡和泉村上半原（No.0-27,R10.0m）",1,0,136.78876444444,35.893443611111
104,BOREHOLE_FUKUI,BED10418000011871,,通常砂防工事　設計業務委託,09,13,BV-1,福井県大野土木事務所,2004-06-18,2004-06-19,552.46,13,0,0,50,7,0000,000000,000000000,00000,0000,0000,0000,000,309826,智那洞谷川　大野郡和泉村後野地係,1,0,136.70704463889,35.926996277778
105,BOREHOLE_FUKUI,BED10418000012048,,河川砂防災害復旧工事　調査・設計業務委託,08,09,B-1,福井県土木部武生土木事務所,2004-10-25,2005-01-31,72.23,10.17,0,0,50,3.9,0000,000000,000000000,00000,0000,0000,0000,000,309993,福井県武生市大虫町　地係,1,0,136.12076869444,35.903106722222
106,BOREHOLE_FUKUI,BED10418000011511,,小規模河川改修工事測量・土質調査委託,18,21,B.No-1（H.8）,福井県朝日土木事務所,1996-08-29,1996-09-03,9.94,21.5,0,0,50,3.2,0000,111100,000000000,00000,0000,0000,0000,000,309637,丹生郡清水町清水山地係,1,0,136.15875588889,36.008792277778
107,BOREHOLE_FUKUI,18000210471805030-BED0001,,平成30年度　復旧治山工事(ゼロ国債)調査測量設計業務委託,09,01,H30-1,福井県坂井農林総合事務所,2019-03-22,2019-12-27,159.13,14.14,0,0,50,2.5,0000,000000,000000000,00000,0000,0000,0000,000,311504,あわら市　清滝(松木谷)　地係,1,0,136.30848519444,36.200809638889
108,BOREHOLE_FUKUI,18000230650906082-BED0001,地域活力基盤創造交付金工事(道路改良),調査業務委託その9,01,17,試掘井,福井県福井土木事務所,2010-04-12,2010-04-14,15.98,40,0,0,-9999,1.45,0000,000000,000000000,00000,0000,0000,0000,000,307043,福井県福井市西大味町地内,1,0,136.25505555556,35.993583333333
110,BOREHOLE_FUKUI,18000230961801759-BED0003,,道路改良工事　地質調査業務委託　30-5,01,01,BV-21-2,福井県土木部　丹南土木事務所,2018-08-29,2018-08-31,130.5,9,0,0,50,2.43,0000,000000,000000000,00000,0000,0000,0000,000,311249,福井県越前市南坂下町　地係,1,0,136.2938455,35.895553222222
111,BOREHOLE_FUKUI,18000230961801759-BED0004,,道路改良工事　地質調査業務委託　30-5,01,01,BV-22-2,福井県土木部　丹南土木事務所,2018-08-28,2018-08-29,131.55,8,0,0,50,4.72,0000,000000,000000000,00000,0000,0000,0000,000,311250,福井県越前市南坂下町　地係,1,0,136.29372938889,35.895453055556
112,BOREHOLE_FUKUI,BED10418000011772,慶円寺川,通常砂防工事　地質調査業務委託　その3,09,10,BNO-1,福井県朝日土木事務所,2003-10-02,2003-11-28,145.85,13,0,0,60,9,0000,000000,000000000,00000,0000,0000,0000,000,309742,丹生郡朝日町小川地係,1,0,136.05683836111,36.00377675
113,BOREHOLE_FUKUI,18000230651403424-BED0003,,道路改良工事（社会資本整備総合交付金（広域連携））地質調査業務委託その1,01,12,BV-3,福井県 福井土木事務所,2015-03-17,2015-03-18,132.59,12,0,0,50,0.12,0000,111101,000000000,00000,0000,0000,1100,111,307214,福井県福井市野波町(No235),1,0,136.42241944444,35.997691666667
114,BOREHOLE_FUKUI,BED10418000011062,小規模河川改修工事調査委託,越前森田,18,21,越前森田7-7-(ⅳ)-D,福井県福井土木工事事務所,1984-06-25,1984-06-28,5.12,10.5,0,0,19,1.6,0000,111100,000000000,00000,0000,0000,0000,000,309329,,1,0,136.21996527778,36.145512166667
115,BOREHOLE_FUKUI,1800023151302219-BED0001,,道路改良工事(電源立地地域対策交付金)調査業務委託石山その2,01,01,H25-B1,福井県嶺南振興局　小浜土木事務所,2014-01-20,2014-01-25,187.18,8,0,0,50,-99.99,0000,000000,000000000,00000,0000,0000,0000,000,306909,福井県大飯郡おおい町石山地係,1,0,135.56220277778,35.437583333333
116,BOREHOLE_FUKUI,1800023151302219-BED0002,,道路改良工事(電源立地地域対策交付金)調査業務委託石山その2,01,01,H25-B2,福井県嶺南振興局　小浜土木事務所,2014-01-27,2014-02-12,198.46,4,0,0,50,1.9,0000,000000,000000000,00000,0000,0000,0000,000,306910,福井県おおい町石山地係,1,0,135.56336666667,35.437347222222
117,BOREHOLE_FUKUI,1800023151302219-BED0006,,道路改良工事(電源立地地域対策交付金)調査業務委託石山その2,01,01,H25-B6,福井県嶺南振興局　小浜土木事務所,2014-02-10,2014-02-13,218.59,12,0,0,50,3.95,0000,000000,000000000,00000,0000,0000,0000,000,306911,福井県大飯郡おおい町石山地係,1,0,135.56568333333,35.439866666667
118,BOREHOLE_FUKUI,1800023151302219-BED0007,,道路改良工事(電源立地地域対策交付金)調査業務委託石山その2,01,01,H25-B7,福井県嶺南振興局　小浜土木事務所,2014-02-14,2014-02-18,234.34,12.4,0,0,50,3.83,0000,000000,000000000,00000,0000,0000,0000,000,306912,福井県大飯郡おおい町石山地係,1,0,135.56538333333,35.440244444444
119,BOREHOLE_FUKUI,1800023151302219-BED0011,,道路改良工事(電源立地地域対策交付金)調査業務委託石山その2,01,01,H25-B11,福井県嶺南振興局　小浜土木事務所,2014-02-13,2014-02-17,245.52,10,0,0,50,4.5,0000,000000,000000000,00000,0000,0000,0000,000,306914,福井県大飯郡おおい町石山地係,1,0,135.56630277778,35.439002777778
120,BOREHOLE_FUKUI,1800023151302219-BED0012,,道路改良工事(電源立地地域対策交付金)調査業務委託石山その2,01,05,H25-B16,福井県嶺南振興局　小浜土木事務所,2014-03-19,2014-03-26,259.58,20,0,0,50,1.8,0000,000000,000000000,00000,0000,0000,0000,000,306915,福井県大飯郡おおい町石山地係,1,0,135.56614166667,35.438488888889
121,BOREHOLE_FUKUI,BED10418000013097,,県総合庁舎地質調査,18,21,No.1,福井県　土木部　建築課,1970-01-17,1970-01-25,0,40,0,0,54,1,0000,101100,000000000,00000,0000,0000,0000,000,310654,福井市松本三丁目16,1,0,136.22427322222,36.072522027778
123,BOREHOLE_FUKUI,BED10418000010125,,地方特定道路整備工事調査委託 ,18,21,BV-4,福井県福井土木事務所,1994-11-07,1995-03-11,157.08,5,0,0,-9999,1.5,0000,000000,000000000,00000,0000,0000,0000,000,309159,福井市五太子町地係（一般県道上一光・大丹生線）,1,0,136.05904961111,36.068958305556
124,BOREHOLE_FUKUI,BED10418000010126,,地方特定道路整備工事調査委託 ,18,21,BH-1,福井県福井土木事務所,1994-11-07,1995-03-11,157.15,7,0,0,-9999,2.4,0000,000000,000000000,00000,0000,0000,0000,000,309160,福井市五太子町地係（一般県道上一光・大丹生線）,1,0,136.05891908333,36.068986083333
125,BOREHOLE_FUKUI,18000230961801759-BED0001,,道路改良工事　地質調査業務委託　30-5,01,01,BV-17-2,福井県土木部　丹南土木事務所,2018-09-12,2018-09-13,152.1,11,0,0,50,2.1,0000,000000,000000000,00000,0000,0000,0000,000,311255,福井県越前市南坂下町　地係,1,0,136.29678936111,35.894690888889
126,BOREHOLE_FUKUI,18000231451203662-BED0002,,原子力災害制圧道路等整備事業 業務委託（測量調査設計） 24-25,01,13,B-2,福井県嶺南振興局敦賀土木事務所,2012-12-13,2013-02-28,32.63,8.15,0,0,50,0.3,0000,000000,000000000,00000,0000,0000,0000,000,308428,"三方郡美浜町菅浜地係（ANO.0+15.0,R-19.0m）",1,0,135.97019444444,35.657194444444
127,BOREHOLE_FUKUI,BED10418000013099,,県松本総合庁舎地質調査,18,21,No.3,福井県　土木部　建築課,1970-01-23,1970-02-04,0,40,0,0,60,2,0000,101100,000000000,00000,0000,0000,0000,000,310656,,1,0,136.224161,36.07347275
128,BOREHOLE_FUKUI,18000230651303068-BED0001,,通常砂防工事（防災・安全交付金）地質調査業務委託その1,09,01,BNo.1,福井県福井土木事務所,2013-11-21,2013-11-25,112.53,6.45,0,0,50,0.78,0000,000000,000000000,00000,0000,0000,0000,000,307143,福井市田ノ谷町 地係,1,0,136.16613452778,36.102701694444
130,BOREHOLE_FUKUI,18000230651905640-BED0001,,踏切除去工事(交通連携推進(地方道))地質調査業務委託,01,01,19BV-1,福井県福井土木事務所,2007-09-10,2008-10-30,7.9,28.5,0,0,50,1.3,1111,111110,000000000,00000,0000,0000,0000,000,307442,福井市大土呂町～半田町地係(NO.26+12.5),1,0,136.21583333333,36.008888888889
131,BOREHOLE_FUKUI,18000230651405154-BED0001,,道路改良工事（社会資本整備総合交付金（広域連携））地質調査業務委託その2,01,04,H26TN2 BV-1,福井県 福井土木事務所,2015-08-17,2015-08-27,136.6,39,0,0,50,3.06,0000,111101,000000000,00000,0000,0000,0000,000,307219,福井県福井市薬師町（No.37+10）,1,0,136.38291944444,36.003233333333
132,BOREHOLE_FUKUI,18000230651631060-BED0002,,河川災害復旧助成工事　設計業務委託その11,18,21,B.17-2(河道中),福井県福井土木事務所,2005-06-23,2005-07-30,39.18,6.3,0,0,50,0,0000,000000,000000000,00000,0000,0000,0000,000,307244,一級河川　足羽川　足羽郡美山町田尻　地係,1,0,136.32166666667,36.02
134,BOREHOLE_FUKUI,18000231551104773-BED0001,,(県単)砂防設備修繕工事測量調査設計業務委託,09,13,BV-6,福井県嶺南振興局小浜土木事務所,2011-10-12,2011-10-15,136.83,18,0,0,-9999,2.2,0000,000000,000000000,00000,0000,0000,0000,000,308655,山中地区,1,0,135.46813888889,35.519
136,BOREHOLE_FUKUI,BED10418000011169,中小河川改修工事地質調査委託,武生,18,21,武生7-8-(ⅲ)-A,福井県武生土木事務所,1986-01-06,1986-01-13,24.97,31.5,0,0,72,0.4,0000,111100,000000000,00000,0000,0000,0000,000,309414,,1,0,136.2175,35.9096875
137,BOREHOLE_FUKUI,18000230652001000-BED0004,,通常砂防地質調査業務委託,09,06,BV-4,福井県 福井土木事務所,2008-05-30,2009-01-31,102.48,10,0,0,50,2,0000,000000,000000000,00000,0000,0000,1100,111,307466,福井県福井市境寺町 地係,1,0,136.36472222222,35.999922222222
138,BOREHOLE_FUKUI,BED10418000011219,小規模河川改修工事地質調査,稲荷,18,21,稲荷7-6-(ⅱ)-C,福井県今立土木事務所,1987-05-25,1987-06-25,-0.28,8.6,0,0,60,2,0000,111100,000000000,00000,0000,0000,0000,000,309448,今立郡池田町寺島地係,1,0,136.33729166667,35.886605916667
146,BOREHOLE_FUKUI,BED10418000011342,土質調査委託,西津,18,21,西津6-5-(ⅴ)-C,福井県小浜土木事務所,1994-08-02,1994-10-30,28.52,18,0,0,60,7.1,0000,000000,000000000,00000,0000,0000,0000,000,309539,,1,0,135.8284375,35.548046888889
149,BOREHOLE_FUKUI,BED10418000010157,,中小河川改修工事（土質調査） ,18,21,BNo.1,福井県福井土木事務所,1987-07-13,1987-09-10,8.25,25.44,0,0,60,1.7,0000,000000,000000000,00000,0000,0000,0000,000,309161,福井市花堂北１丁目地係,1,0,136.21432538889,36.039483527778
150,BOREHOLE_FUKUI,18000230811102658-BED0004,,雪寒地域道路工事（地域自主戦略交付金）地質調査業務委託,01,01,BNO-4,福井県奥越土木事務所,2011-09-27,2011-11-25,406.96,17,0,0,50,10.4,0000,000000,000000000,00000,0000,0000,0000,000,307683,大野市 谷戸口 地係,1,0,136.6275,35.913333333333
151,BOREHOLE_FUKUI,BED10418000010091,,連続立体交差事業に伴う土質調査業務委託 ,18,21,No.4,福井駅周辺整備事務所,1991-08-09,1991-11-26,8.56,29.12,0,0,60,2.63,0000,111101,000000000,00000,0000,0000,0000,000,309147,福井市大手一丁目,1,0,136.22843188889,36.066319361111
152,BOREHOLE_FUKUI,BED10418000010095,,（県単）道路改良工事 ,18,21,BNo.1,福井県福井土木事務所,1991-02-25,1991-03-28,107.98,5,0,0,11,3.59,0000,000000,000000000,00000,0000,0000,0000,000,309149,福井市五太子町地係,1,0,136.05374730556,36.069013805556
154,BOREHOLE_FUKUI,18000210541700484-BED0004,,平成29年度農村災害対策整備事業　勝山大用水地区　業務委託第4号,83,08,Bo.No4,福井県奥越農林総合事務所,2017-06-09,2017-12-15,155.94,15.05,0,0,50,4.85,0000,111100,000000000,11111,0000,0000,0000,000,311017,勝山市平泉寺町大渡他地係,1,0,136.51218055556,36.031977777778
155,BOREHOLE_FUKUI,BED10418000010906,,北潟,18,21,北潟8-0-(ⅲ)-B,福井県三国土木事務所,1994-11-24,1994-11-30,-0.18,28.45,0,0,50,0.3,0000,000000,000000000,00000,0000,0000,0000,000,309192,福井県坂井郡芦原町北潟地係,1,0,136.22927083333,36.260581611111
156,BOREHOLE_FUKUI,BED10418000010158,,中小河川改修工事（土質調査） 中小河川改修工事（土質調査） ,18,21,BNo.2,福井県福井土木事務所,1987-07-13,1987-09-10,8.5,25.3,0,0,60,1.95,0000,000000,000000000,00000,0000,0000,0000,000,309162,福井市花堂北１丁目地係,1,0,136.21391430556,36.039397416667
157,BOREHOLE_FUKUI,18000230961203536-BED0001,,総合流域防災工事（地域自主戦略交付金）調査設計業務委託その2,08,21,B-1,福井県丹南土木事務所,2013-03-11,2013-03-14,20.57,15,0,0,50,6.1,0000,111110,000000000,11111,0000,0000,0000,000,308107,一級河川 日野川　鯖江市熊田町地係,1,0,136.17119444444,35.952888888889
158,BOREHOLE_FUKUI,18000231451001719-BED0001,,落合川導流堤工事 測量・調査・設計業務委託,10,01,H22-BNo.1(海側),福井県敦賀土木事務所,2010-08-02,2011-03-25,0.93,5,0,0,50,0.1,0000,111100,000000000,00000,0000,0000,0000,000,308331,三方郡 美浜町 竹波地係,1,0,135.97533083333,35.6985
159,BOREHOLE_FUKUI,BED10418000012787,,地方道路交付金工事（道路改良)測量調査設計業務委託,01,11,H16BH-1,武生土木事務所,2005-06-07,2005-06-08,74.33,20,0,0,-9999,-9999,0000,000000,000000000,00000,0000,0000,0000,000,310516,福井県武生市下平吹,1,0,136.17694444444,35.872777777778
160,BOREHOLE_FUKUI,18000210671701262-BED0002,,平成29年度 農村災害対策整備事業 論手地区業務委託第3号,83,07,No.2,福井県丹南農林総合事務所　整備保全課,2017-07-14,2017-12-22,10.59,10.45,0,0,33,3.11,0000,111100,000000000,11111,0000,0000,0000,000,311030,論手地区　鯖江市石田下町,1,0,136.15446666667,35.983513888889
161,BOREHOLE_FUKUI,18000230651701970-BED0002,,砂防激甚災害対策特別緊急事業地質調査業務委託,09,10,Br-2,福井県福井土木事務所,2005-05-30,2006-05-31,213.73,8,0,0,50,0.12,0000,000000,000000000,00000,0000,0000,0000,000,307294,間戸川　福井市間戸町,1,0,136.39522222222,35.9815
162,BOREHOLE_FUKUI,BED10418000012341,基幹河川改修工事 治水特別会計,調査業務委託　その3,08,09,BNo.2,福井県朝日土木事務所,2005-06-29,2005-07-01,14.82,5,0,0,-9999,1.43,0000,000000,000000000,00000,0000,0000,0000,000,310276,越前町　西田中　地係,1,0,136.12615583333,35.976815
163,BOREHOLE_FUKUI,BED10418000013033,,急傾斜地崩壊対策工事　地質調査業務委託,18,21,B-No.1,福井県福井土木事務所,2006-07-11,2006-07-12,37.96,5.01,0,0,50,4.02,0000,000000,000000000,00000,0000,0000,0000,000,310622,東大味地区　福井市東大味地係,1,0,136.26519722222,35.991316666667
164,BOREHOLE_FUKUI,18000231451304567-BED0004,（県単)道路改良工事,測量調査設計業務委託25-22,01,13,Br-4,福井県嶺南振興局敦賀土木事務所,2013-12-27,2014-03-25,15.67,7,0,0,50,0,0000,111100,000000000,00000,0000,0000,0000,000,308466,三方上中郡　若狭町　遊子　地係,1,0,135.85388888889,35.603302777778
165,BOREHOLE_FUKUI,18000231451304945-BED0002,災害復旧査定設計業務委託 その12,災害復旧査定設計業務委託 その12,09,10,BNo.2,福井県嶺南振興局敦賀土木事務所,2013-09-27,2013-12-17,21,33.18,0,0,50,5.6,0000,000000,000000000,00000,0000,0000,0000,000,308476,三方上中郡若狭町海山,1,0,135.86598611111,35.594338888889
166,BOREHOLE_FUKUI,BED10418000012140,災害関連緊急砂防事業,災害関連緊急砂防事業　測量・調査・設計業務委託,09,10,B-3,福井県　鯖江土木事務所,2004-12-01,2004-12-02,147.35,6,0,0,50,-9999,0000,000000,000000000,00000,0000,0000,1100,110,310081,三ツ俣川　鯖江市　上河内町　地係,1,0,136.32111111111,35.941666666667
167,BOREHOLE_FUKUI,18000231451901430-BED0001,,平成19年度地方道路交付金工事(災害防除) 測量・調査・設計業務委託　その1,01,13,BV19-1,福井県敦賀土木事務所,2007-06-28,2007-10-25,30.35,6,0,0,50,5,0000,000000,000000000,00000,0000,0000,0000,000,308537,福井県三方郡美浜町菅浜地係,1,0,135.969887618107,35.6678943585246
169,BOREHOLE_FUKUI,18000230751504854-BED0003,,(県単)道路防災対策工事(ゼロ県債)測量調査設計業務委託,10,13,BV-3,福井県三国土木事務所,2016-02-22,2016-02-28,186.06,30,0,0,50,0.1,0000,000000,000000000,00000,0000,0000,0000,000,311119,国道364号坂井市丸岡町上久米田地係,1,0,136.31978333333,36.119780555556
170,BOREHOLE_FUKUI,BED10418000012470,,砂防激甚災害対策特別緊急事業 地質調査業務委託,09,10,Bo-2,福井県福井土木事務所,2005-05-30,2005-09-30,166.4,5,0,0,50,4.9,0000,000000,000000000,00000,0000,0000,0000,000,310399,蔵作川　足羽郡美山町蔵作地係,1,0,136.35063888889,35.987111111111
171,BOREHOLE_FUKUI,18000238101303993-BED0001,,県立三方青年の家ボートハウス地質調査業務委託,14,01,B-1,福井県　土木部,2013-12-20,2013-12-29,4.39,35.14,0,0,50,0.95,0000,111101,110011100,00000,0000,0000,0000,000,309114,福井県三方郡美浜町大藪地係,1,0,135.91261944444,35.598377777778
